id,created,superceded_id,valid,pt_position_x,pt_position_y,pt_position_z,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id
1577,2024-08-02 20:51:41.669468+00:00,,True,187824,121040,21834,864691136195419606,True,True,dendrite_clean,axon_partially_extended,90572683527737052,864691136195419606
1579,2024-08-02 20:55:25.909690+00:00,,True,189200,112848,21300,864691135716428314,True,True,dendrite_clean,axon_partially_extended,90782690181525477,864691135716428314
1582,2024-08-02 20:55:25.953833+00:00,,True,172640,102976,22379,864691135975886447,True,True,dendrite_clean,axon_partially_extended,88529516112574765,864691135975886447
1583,2024-08-02 20:55:25.968215+00:00,,True,175696,121744,21198,864691135688350944,True,True,dendrite_clean,axon_partially_extended,88954271063892547,864691135688350944
1584,2024-08-02 20:55:25.982680+00:00,,True,181488,102960,22492,864691135738868593,True,True,dendrite_extended,axon_partially_extended,89725784763726337,864691135738868593
1585,2024-08-02 20:55:25.996999+00:00,,True,190944,119728,21397,864691135539486066,True,True,dendrite_clean,axon_partially_extended,90994689767351820,864691135539486066
1586,2024-08-02 20:55:26.011385+00:00,,True,181328,119504,22321,864691136389878647,True,True,dendrite_clean,axon_partially_extended,89728052506249438,864691136389878647
1587,2024-08-02 20:55:26.026085+00:00,,True,182528,117344,20379,864691136389875831,True,True,dendrite_clean,axon_partially_extended,89868446128941331,864691136389875831
1588,2024-08-02 20:55:26.041263+00:00,,True,176000,138896,20458,864691135756145106,True,True,dendrite_clean,axon_partially_extended,88956538672714596,864691135756145106
1589,2024-08-02 20:55:26.058209+00:00,,True,187360,108304,21607,864691136117613476,True,True,dendrite_clean,axon_partially_extended,90500596796402782,864691136117613476
1590,2024-08-02 20:55:26.074023+00:00,,True,175184,112320,21779,864691135615585739,True,True,dendrite_clean,axon_partially_extended,88882596716825922,864691135615585739
1593,2024-08-02 20:55:26.119220+00:00,,True,183184,115008,21547,864691136195818828,True,True,dendrite_clean,axon_partially_extended,89938540196086387,864691136195818828
1594,2024-08-02 20:55:26.133178+00:00,,True,178880,112496,21851,864691135498973715,True,True,dendrite_extended,axon_partially_extended,89375246645623251,864691135498973715
1595,2024-08-02 20:55:26.148049+00:00,,True,187936,107488,20888,864691135750141481,True,True,dendrite_clean,axon_partially_extended,90570827967759697,864691135750141481
1596,2024-08-02 20:55:26.163918+00:00,,True,171552,124528,20568,864691135868118038,True,True,dendrite_clean,axon_partially_extended,88321295896427784,864691135868118038
1597,2024-08-02 20:55:26.179741+00:00,,True,190992,120752,20242,864691136904656818,True,True,dendrite_clean,axon_partially_extended,90994827071958861,864691136904656818
1598,2024-08-02 20:55:26.194049+00:00,,True,190992,108960,21162,864691135342418629,True,True,dendrite_clean,axon_partially_extended,90993246658078569,864691135342418629
1600,2024-08-02 20:56:25.281659+00:00,,True,172384,120448,21000,864691135688375264,True,True,dendrite_clean,axon_partially_extended,88461483695978011,864691135688375264
1601,2024-08-02 20:56:25.297260+00:00,,True,187232,138624,20609,864691135489677882,True,True,dendrite_clean,axon_partially_extended,90504651111308470,864691135489677882
1602,2024-08-02 20:56:25.311131+00:00,,True,190720,125072,20809,864691136579091988,True,True,dendrite_clean,axon_partially_extended,90995376894956609,864691136579091988
1603,2024-08-02 20:56:25.326399+00:00,,True,168176,111280,22537,864691135570534534,True,True,dendrite_extended,axon_partially_extended,87897296993310090,864691135570534534
3626,2025-04-25 22:21:58.579348+00:00,,True,197312,242448,22316,864691136390601335,True,True,dendrite_extended,axon_partially_extended,91925976250187518,864691136390601335
1605,2024-08-02 20:56:25.355834+00:00,,True,176816,111120,20315,864691136445277315,True,True,dendrite_clean,axon_partially_extended,89093565309189306,864691136445277315
1607,2024-08-02 20:56:54.700052+00:00,,True,173632,133776,21477,864691135867009413,True,True,dendrite_clean,axon_partially_extended,88674376635434834,864691135867009413
1608,2024-08-02 20:56:54.715781+00:00,,True,186528,126944,20248,864691136239081532,True,True,dendrite_clean,axon_partially_extended,90432701752255117,864691136239081532
1610,2024-08-02 20:56:54.746686+00:00,,True,174224,126496,20149,864691135469753426,True,True,dendrite_clean,axon_partially_extended,88743783172412796,864691135469753426
1612,2024-08-02 20:57:46.215563+00:00,,True,172096,111472,20736,864691136090602551,True,True,dendrite_clean,axon_partially_extended,88460315398055152,864691136090602551
1614,2024-08-02 20:57:59.874026+00:00,,True,172480,108304,21873,864691135731656633,True,True,dendrite_clean,axon_partially_extended,88459903215549186,864691135731656633
1616,2024-08-02 20:57:59.904599+00:00,,True,186272,119424,21100,864691135572654885,True,True,dendrite_clean,axon_partially_extended,90361302349957438,864691135572654885
1617,2024-08-02 20:57:59.919212+00:00,,True,192160,102688,21040,864691135700799778,True,True,dendrite_clean,axon_partially_extended,91203528256750549,864691135700799778
3631,2025-04-26 15:26:01.654156+00:00,,True,154016,140256,22410,864691134942169955,True,True,dendrite_extended,axon_partially_extended,85930889099837045,864691134942169955
3632,2025-04-26 15:26:01.729407+00:00,,True,191248,204224,22278,864691135875414414,True,True,dendrite_extended,axon_partially_extended,91076397359254228,864691135875414414
3633,2025-04-26 15:26:01.762134+00:00,,True,188960,176800,21049,864691135569933804,True,True,dendrite_extended,axon_partially_extended,90720842652149836,864691135569933804
3635,2025-04-26 15:26:01.794586+00:00,,True,172512,175280,21964,864691135778773856,True,True,dendrite_extended,axon_partially_extended,88468836747612860,864691135778773856
3636,2025-04-26 15:26:01.824500+00:00,,True,177120,176864,22863,864691135857993774,True,True,dendrite_extended,axon_partially_extended,89102430457236078,864691135857993774
3637,2025-04-26 15:26:01.838438+00:00,,True,175328,159648,21658,864691135867745157,True,True,dendrite_clean,axon_partially_extended,88888987628025797,864691135867745157
3629,2025-04-26 13:33:16.031318+00:00,,True,281908,233925,14894,864691134886928378,False,True,none,axon_fully_extended,103535649868532306,864691134886928378
