id,created,superceded_id,valid,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
189083,2020-09-28 22:40:41.836770+00:00,,True,91.25184,146432,113984,22697,,,,,,,84871853310740205,864691135697331897
189419,2020-09-28 22:40:41.838118+00:00,,True,44.65459,144768,126656,26188,,,,,,,84662396815281233,864691135440742728
415726,2020-09-28 22:40:41.839052+00:00,,True,254.89178,249808,77088,17332,,,,,,,0,0
189115,2020-09-28 22:40:41.839894+00:00,,True,251.61859,135744,113808,24002,,,,,,,83464409842221501,864691135738006641
415808,2020-09-28 22:40:41.840968+00:00,,True,207.37785,254432,77856,18236,,,,,,,0,0
156155,2020-09-28 22:40:41.842215+00:00,,True,325.28696,129024,141952,27326,,,,,,,82483027464410527,864691135213116544
738318,2020-09-28 22:40:41.843640+00:00,,True,72.22788,399552,111296,22868,,,,,,,0,0
191237,2020-09-28 22:40:41.844679+00:00,,True,50.835293,146768,139088,25849,,,,,,,84945589711998241,864691135440742728
190006,2020-09-28 22:40:41.845826+00:00,,True,271.03198,136848,141536,17916,,,,,,,83608926096552697,864691135885832304
191816,2020-09-28 22:40:41.847212+00:00,,True,52.99323,140096,148960,17070,,,,,,,84032100566796651,864691134606726885
569596,2020-09-28 22:40:41.848560+00:00,,True,74.034546,326144,268288,16756,,,,,,,109591966274372590,864691135865521285
382350,2020-09-28 22:40:41.849642+00:00,,True,73.95049,228608,281424,24760,,,,,,,96223692660615146,864691135544653864
383261,2020-09-28 22:40:41.850565+00:00,,True,52.11177,227728,291056,20360,,,,,,,0,0
412902,2020-09-28 22:40:41.851439+00:00,,True,225.26395,238560,289392,20114,,,,,,,0,0
190881,2020-09-28 22:40:41.852361+00:00,,True,230.15063,146784,143232,22603,,,,,,,84946139064972768,864691135754570189
186724,2020-09-28 22:40:41.853237+00:00,,True,127.04285,146688,85168,26106,,,,,,,0,0
417191,2020-09-28 22:40:41.854126+00:00,,True,235.69923,259680,74736,23395,,,,,,,0,0
736109,2020-09-28 22:40:41.855062+00:00,,True,96.48046,401392,94368,24800,,,,,,,0,0
416284,2020-09-28 22:40:41.855915+00:00,,True,49.469685,262112,77088,20423,,,,,,,0,0
153275,2020-09-28 22:40:41.857051+00:00,,True,308.3007,130192,122064,20106,,,,,,,82691521417299698,864691135463256477
416153,2020-09-28 22:40:41.858007+00:00,,True,77.414894,252128,76848,20896,,,,,,,0,0
153085,2020-09-28 22:40:41.858863+00:00,,True,244.26218,129376,115024,18590,,,,,,,82549821654929699,864691135748985641
736470,2020-09-28 22:40:41.859760+00:00,,True,54.71109,403344,93584,25012,,,,,,,0,0
416658,2020-09-28 22:40:41.860713+00:00,,True,94.62317,261472,75424,21720,,,,,,,0,0
186867,2020-09-28 22:40:41.861629+00:00,,True,35.922413,132512,93168,27775,,,,,,,82969080390361629,864691134917644042
416715,2020-09-28 22:40:41.862560+00:00,,True,111.73659,248560,74576,22504,,,,,,,0,0
734856,2020-09-28 22:40:41.863556+00:00,,True,37.063393,396464,90768,22485,,,,,,,0,0
734840,2020-09-28 22:40:41.864479+00:00,,True,34.25321,396096,92992,22338,,,,,,,0,0
411455,2020-09-28 22:40:41.865364+00:00,,True,126.63489,239456,281520,16354,,,,,,,0,0
409293,2020-09-28 22:40:41.866600+00:00,,True,218.33614,234368,272992,16565,,,,,,,96996579541728799,864691136433266078
411372,2020-09-28 22:40:41.867847+00:00,,True,91.96224,235632,280912,16289,,,,,,,0,0
161434,2020-09-28 22:40:41.869149+00:00,,True,281.1891,128784,186864,17596,,,,,,,82489073503336450,864691135570002310
196209,2020-09-28 22:40:41.870840+00:00,,True,397.0474,132032,192704,17110,,,,,,,82912041815550383,864691136084039276
735363,2020-09-28 22:40:41.872236+00:00,,True,260.64944,400224,93440,22739,,,,,,,0,0
160913,2020-09-28 22:40:41.873584+00:00,,True,36.73358,129552,172640,27753,,,,,,,82557519444220188,864691134843987622
165545,2020-09-28 22:40:41.874842+00:00,,True,253.67905,130256,192560,25758,,,,,,,82700936723773439,864691135538697586
733392,2020-09-28 22:40:41.875914+00:00,,True,541.8305,384304,287712,23924,,,,,,,0,0
734038,2020-09-28 22:40:41.876840+00:00,,True,26.381025,390688,289680,24183,,,,,,,0,0
159400,2020-09-28 22:40:41.877734+00:00,,True,205.32379,130656,174544,19727,,,,,,,82768899481127258,864691136057810136
733318,2020-09-28 22:40:41.878612+00:00,,True,69.24124,380000,289456,23701,,,,,,,0,0
192921,2020-09-28 22:40:41.879485+00:00,,True,228.1046,145120,153008,22472,,,,,,,84736338435797923,864691135274931941
410237,2020-09-28 22:40:41.880368+00:00,,True,73.63494,243520,273152,20985,,,,,,,98263286193461932,864691135192154063
192537,2020-09-28 22:40:41.881257+00:00,,True,49.396286,146272,152352,20311,,,,,,,84877006936185869,864691135584214136
737080,2020-09-28 22:40:41.882516+00:00,,True,71.49257,408144,90144,26315,,,,,,,0,0
192868,2020-09-28 22:40:41.884295+00:00,,True,82.84586,132720,159088,22001,,,,,,,83048313142181736,864691136520174308
410472,2020-09-28 22:40:41.885661+00:00,,True,72.61602,234096,273152,22307,,,,,,,96996648999383926,864691136433316766
413567,2020-09-28 22:40:41.886568+00:00,,True,226.88318,241792,284144,21768,,,,,,,0,0
193067,2020-09-28 22:40:41.887850+00:00,,True,31.537233,136400,157600,24005,,,,,,,83540688461414695,864691135590265355
736586,2020-09-28 22:40:41.888752+00:00,,True,314.08423,405296,88768,25583,,,,,,,0,0
567497,2020-09-28 22:40:41.889632+00:00,,True,98.411316,326848,256784,17614,,,,,,,109731192068337113,864691135449676228
410719,2020-09-28 22:40:41.890527+00:00,,True,81.24137,234176,273568,24488,,,,,,,96996649267981638,864691135217891023
192028,2020-09-28 22:40:41.891414+00:00,,True,39.801815,135120,144224,18780,,,,,,,83327794851334518,864691136121124221
414127,2020-09-28 22:40:41.892295+00:00,,True,72.1322,245520,284672,23626,,,,,,,98546273401013224,864691135182070274
689644,2020-09-28 22:40:41.893181+00:00,,True,55.918427,392848,108304,22012,,,,,,,0,0
382205,2020-09-28 22:40:41.894088+00:00,,True,63.502583,226784,288816,23541,,,,,,,95943179555116510,864691135980268353
570347,2020-09-28 22:40:41.894973+00:00,,True,76.17856,326048,273152,20322,,,,,,,109592653938863233,864691135375639741
192566,2020-09-28 22:40:41.895869+00:00,,True,294.32578,133664,157984,20718,,,,,,,83118544312871994,864691136020298744
