id,created,valid,target_id,session,scan_idx,unit_id,field,residual,score,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
6830,2024-05-21 18:38:26.121047+00:00,True,524411,6,4,6536,6,5.46595,3.70684,524411,2020-09-28 22:43:33.485689+00:00,True,333.1185,309856,163728,16764,,,,,,,107396516431755812,864691135275077605
8220,2024-05-21 18:38:26.894252+00:00,True,524847,6,6,6311,6,16.2267,-2.4952,524847,2020-09-28 22:41:38.522290+00:00,True,396.24753,300992,165168,20098,,,,,,,106130085664453687,864691135135360025
694,2024-05-21 18:38:22.691850+00:00,True,524654,4,7,5584,6,4.2527,6.1463,524654,2020-09-28 22:44:06.313097+00:00,True,216.4836,295984,163504,19250,,,,,,,105496491954945220,864691136926324554
4043,2024-05-21 18:38:24.558428+00:00,True,524713,5,7,6661,6,8.56786,3.04674,524713,2020-09-28 22:43:14.779828+00:00,True,323.6774,303824,174944,18977,,,,,,,106553603665224351,864691135356622543
8212,2024-05-21 18:38:26.889840+00:00,True,524712,6,6,6287,6,3.81493,10.20317,524712,2020-09-28 22:44:57.516591+00:00,True,301.00488,303680,168256,19179,,,,,,,106552710312311222,864691135375140681
8213,2024-05-21 18:38:26.890513+00:00,True,524878,6,6,6288,6,5.54587,11.30783,524878,2020-09-28 22:44:27.053285+00:00,True,253.42984,308048,168096,19611,,,,,,,107115591613261675,864691135755499474
6842,2024-05-21 18:38:26.127604+00:00,True,524825,6,4,6580,6,15.9005,-4.0851,524825,2020-09-28 22:42:33.244743+00:00,True,301.02603,299856,174720,19718,,,,,,,105990585059729442,864691137020496494
4249,2024-05-21 18:38:24.674913+00:00,True,524471,5,7,7334,6,1.91967,13.81453,524471,2020-09-28 22:45:23.394207+00:00,True,421.5441,299776,173072,17581,,,,,,,105990378632763333,864691136135329163
2629,2024-05-21 18:38:23.769815+00:00,True,524586,5,6,6770,6,7.61008,-0.26967,524586,2020-09-28 22:43:10.447104+00:00,True,317.44,303376,175552,18205,,,,,,,106483303506619134,864691136536766114
686,2024-05-21 18:38:22.687572+00:00,True,524727,4,7,5553,6,8.31906,-0.83238,524727,2020-09-28 22:41:42.189393+00:00,True,261.57254,306784,161856,19503,,,,,,,106974029491034611,864691136487994130
13405,2024-05-21 18:42:40.763621+00:00,True,524850,7,5,6771,6,6.72965,-0.33679,524850,2020-09-28 22:44:36.312957+00:00,True,266.62796,301488,160544,19680,,,,,,,106199835866348185,864691135940261633
13616,2024-05-21 18:42:40.881998+00:00,True,524818,7,5,7539,6,5.97815,2.42584,524818,2020-09-28 22:44:27.100651+00:00,True,253.55125,299520,160224,19961,,,,,,,105918292170442045,864691135946398500
