id,created,valid,target_id,session,scan_idx,unit_id,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,id_ref,created_ref,valid_ref,volume,pt_position_x,pt_position_y,pt_position_z,bb_start_position_x,bb_start_position_y,bb_start_position_z,bb_end_position_x,bb_end_position_y,bb_end_position_z,pt_supervoxel_id,pt_root_id
2721,2025-07-30 17:51:25.019872+00:00,True,358203,5,7,2291,161.45493,161.45493,0.397254,0.150784,0.223417,0.684928,0.3261905,0.67606246,0.3461577,-0.07998061,-0.073486865,358203,2020-09-28 22:43:31.302629+00:00,True,368.68915,213440,109440,25286,,,,,,,94089540658288666,864691135393975285
7709,2025-07-30 17:51:50.101593+00:00,True,358164,6,7,1505,97.577995,277.578,0.452794,0.0563841,0.259692,0.324663,0.7998817,0.71361315,0.15497561,-0.11189985,0.026465416,358164,2020-09-28 22:45:06.163881+00:00,True,319.79636,220688,100544,24153,,,,,,,95073465991834235,864691135889882249
2575,2025-07-30 17:51:24.908430+00:00,True,358092,5,7,1749,66.18636,66.18636,0.188944,0.0947474,0.353259,0.509771,0.6929759,0.3595736,0.13635294,-0.09312099,-0.02162534,358092,2020-09-28 22:43:31.828992+00:00,True,274.1725,217456,109840,23937,,,,,,,94652559130049062,864691135938614069
3792,2025-07-30 17:51:25.882263+00:00,True,358092,6,2,1640,53.507267,53.507267,0.362842,0.112637,0.203832,0.5883,0.3464763,0.6246615,0.24011332,-0.089953184,0.012126684,358092,2020-09-28 22:43:31.828992+00:00,True,274.1725,217456,109840,23937,,,,,,,94652559130049062,864691135938614069
7696,2025-07-30 17:51:50.089409+00:00,True,358039,6,7,1479,80.307335,260.30734,0.393921,0.100103,0.260105,0.311669,0.83455527,0.64780223,0.28484613,-0.09244323,0.02799356,358039,2020-09-28 22:45:15.504703+00:00,True,348.82715,223488,102752,22981,,,,,,,95496021853411486,864691135866511493
7733,2025-07-30 17:51:50.119111+00:00,True,358022,6,7,1588,176.098,176.098,0.265341,0.157162,0.224097,0.530272,0.42260763,0.48175678,0.41399205,-0.03159523,0.054991484,358022,2020-09-28 22:41:54.308983+00:00,True,402.31894,220992,100944,23350,,,,,,,95143903321518809,864691136176255494
7595,2025-07-30 17:51:50.013421+00:00,True,358072,6,7,1134,83.48396,83.48396,0.213112,0.0583929,0.16899,0.52667,0.32086506,0.39644942,0.14609021,-0.12657076,-0.04588425,358072,2020-09-28 22:45:13.150991+00:00,True,339.1955,214864,101744,23496,,,,,,,94299615830504990,864691135570199686
21,2025-07-30 17:51:22.711231+00:00,True,358130,4,7,748,92.03864,272.03864,0.381708,0.0585313,0.379637,0.670927,0.5658395,0.6472046,0.0328278,-0.13924176,0.017236948,358130,2020-09-28 22:44:52.141484+00:00,True,292.2691,226336,96064,23453,,,,,,,95846972288134035,864691135576385566
7750,2025-07-30 17:51:50.133940+00:00,True,358112,6,7,1638,3.583126,183.58313,0.0744073,0.0946634,0.289338,0.455501,0.63520825,0.14523824,0.043651838,-0.11171353,0.16108394,358112,2020-09-28 22:45:15.333248+00:00,True,347.28674,221024,101120,23594,,,,,,,95143972107783936,864691135859777896
3951,2025-07-30 17:51:26.001048+00:00,True,358178,6,2,2194,161.66635,161.66635,0.166045,0.0767433,0.457663,0.371228,1.2328353,0.32559434,0.21580887,-0.046181977,-0.022719085,358178,2020-09-28 22:44:48.222092+00:00,True,285.37653,225104,106960,24595,,,,,,,95707678109645306,864691137197790529
3943,2025-07-30 17:51:25.994155+00:00,True,358064,6,2,2162,93.301445,273.30145,0.274698,0.0957798,0.202276,0.720647,0.28068665,0.49452665,0.27012238,-0.0914737,-0.042409062,358064,2020-09-28 22:40:52.964504+00:00,True,361.00735,228656,108976,23368,,,,,,,96200533995831107,864691134885292282
56,2025-07-30 17:51:22.738712+00:00,True,358013,4,7,955,107.05644,287.05643,0.467127,0.119267,0.660207,0.766919,0.86085624,0.7757301,0.27471164,-0.11137462,0.07496631,358013,2020-09-28 22:45:17.517296+00:00,True,360.0895,219712,94704,22867,,,,,,,95002341132369863,864691135383749611
3794,2025-07-30 17:51:25.883643+00:00,True,358156,6,2,1642,73.81171,253.8117,0.231509,0.149222,0.273416,0.235138,1.1627895,0.44510558,0.37740415,-0.03382039,0.013581991,358156,2020-09-28 22:44:04.228000+00:00,True,211.37817,217888,107856,24470,,,,,,,94722653063457878,864691135447307860
3790,2025-07-30 17:51:25.880899+00:00,True,358019,6,2,1637,107.07493,107.07493,0.0671572,0.0865386,0.428685,0.734933,0.5832981,0.11581836,0.21215187,-0.098634064,0.018054843,358019,2020-09-28 22:43:05.678729+00:00,True,323.04446,220592,110096,22796,,,,,,,95074771460772527,864691135446404498
7591,2025-07-30 17:51:50.010749+00:00,True,358114,6,7,1110,1.5493008,1.5493008,0.256282,0.0578493,0.390744,0.43768,0.8927618,0.49002504,0.041917898,-0.10343057,-0.012123883,358114,2020-09-28 22:44:59.075726+00:00,True,303.61502,220960,101536,23827,,,,,,,95143972108070732,864691136084469612
4986,2025-07-30 17:51:26.772829+00:00,True,358127,6,4,1464,7.2122407,187.21223,0.340469,0.0399227,0.478424,0.666666,0.7176367,0.59051865,0.047634955,-0.09786612,0.006185293,358127,2020-09-28 22:45:24.735179+00:00,True,436.13553,225216,103232,23785,,,,,,,95707196939337559,864691135100166944
6361,2025-07-30 17:51:49.042359+00:00,True,358127,6,6,1317,12.089123,12.089123,0.385202,0.0417781,0.281648,0.67056,0.4200191,0.65183985,0.12358294,-0.0450148,-0.024520457,358127,2020-09-28 22:45:24.735179+00:00,True,436.13553,225216,103232,23785,,,,,,,95707196939337559,864691135100166944
