neuron_id,brain_area,layer,cell_type,pref_ori,gOSI,x,y,z,out_degree,in_degree,out_strength,in_strength
864691135694415551,V1,L4,4P,177.0789,0.449638,620.0538654218548,292.5047448737744,810.6400000000002,0,3,0,3
864691136006519498,V1,L4,4P,48.32311,0.195462,654.261634304255,298.77400480524085,887.8800000000002,1,3,1,3
864691135294520844,V1,L4,4P,109.30071,0.176783,670.1099413292117,304.14370912137485,822.5200000000002,0,6,0,6
864691136905758130,V1,L4,4P,95.166,0.46423,708.944706691632,299.3822632017234,904.3200000000003,2,6,2,6
864691135725842603,V1,L4,4P,89.95724,0.108664,679.6022840512328,287.43544129829706,834.2400000000002,7,5,7,5
864691134949081852,V1,L4,4P,156.79047,0.15516,663.2192724748032,286.7088026765761,901.4800000000002,3,2,3,2
864691135569902316,V1,L4,4P,177.68338,0.225673,949.8394182253581,293.0254310438876,965.7600000000002,1,2,1,2
864691135988742147,V1,L4,4P,8.61656,0.300896,895.7646912306514,316.305094195401,871.4000000000002,2,2,2,2
864691135375888840,V1,L4,4P,107.94582,0.0664326,642.8078410742587,302.654507433057,856.6400000000002,7,2,7,2
864691134966714655,V1,L4,4P,84.94558,0.19722,628.7909571743838,299.1153880881591,805.7600000000002,4,4,4,4
864691135480916422,V1,L4,4P,130.62506,0.378881,682.073786244631,300.30783023384544,903.3200000000003,4,3,4,3
864691135927381774,V1,L4,4P,23.82286,0.296526,481.44604835360946,309.0311656470652,803.8000000000003,4,1,4,1
864691135751110185,V1,L4,4P,9.927296,0.201253,662.4813622742564,292.9402019204,847.0800000000003,3,3,3,3
864691136484732972,V1,L4,4P,90.60854,0.31584,680.1125092022871,302.89875291952603,929.4000000000002,0,4,0,4
864691136043283030,V1,L4,4P,15.475934,0.398974,642.9863360354059,300.6143006913651,866.3200000000003,3,4,3,4
864691136275894285,V1,L4,4P,140.4715,0.402927,628.5295730321677,300.63438720935625,843.5200000000002,3,1,3,1
864691135760106830,V1,L4,4P,99.65268,0.274704,670.9162321603724,283.91299803412966,903.1600000000002,5,3,5,3
864691136664127454,V1,L4,4P,172.19559,0.295635,591.7348987676851,295.2952028361934,922.8000000000003,0,3,0,3
864691135465343045,V1,L4,4P,8.269348,0.456332,705.8868532187548,304.96098242197576,868.3600000000002,0,5,0,5
864691135577816862,V1,L4,4P,108.961525,0.5996,679.2120576112317,312.45664405367086,872.2400000000002,4,0,4,0
864691135782506832,V1,L4,4P,15.506071,0.326413,642.5486822841947,289.4617177083047,867.0800000000003,4,2,4,2
864691135765013302,V1,L4,4P,91.72752,0.36992,658.8154525180944,300.32881272755964,861.8400000000003,2,2,2,2
864691135779020221,V1,L4,4P,44.819565,0.149226,790.4924568702594,310.8853908113861,760.4800000000001,2,0,2,0
864691136975624220,V1,L4,4P,169.4282,0.0644944,617.6191258271781,288.75828693245006,897.6400000000002,3,5,3,5
864691135102433056,V1,L4,4P,27.225084,0.355721,646.2046211903935,316.7000036807027,805.8000000000003,4,6,4,6
864691135258563503,V1,L4,4P,6.14482,0.376812,725.6050559809164,299.8761878508764,828.8400000000003,5,2,5,2
864691136052738803,V1,L4,4P,40.899868,0.025117,651.0641581773502,290.52794766149793,929.3600000000002,1,1,1,1
864691136913993713,V1,L4,4P,81.92151,0.160368,611.6603823043963,296.6529899433115,913.7200000000003,5,1,5,1
864691136177799686,V1,L4,4P,118.53221,0.107855,638.9178588190625,298.6522433170523,821.6000000000003,2,1,2,1
864691136033332155,V1,L4,4P,2.2607393,0.188376,726.8811389920738,313.92888055187285,901.5600000000003,5,6,5,6
864691135294441654,V1,L4,4P,159.47307,0.12785,647.0118079972771,305.2708633167563,837.2000000000003,8,0,8,0
864691135466236229,V1,L4,4P,89.71243,0.152275,669.0635087846242,301.41813488286516,887.2800000000002,3,0,3,0
864691136091074615,V1,L4,4P,9.178059,0.222302,790.4573127573524,303.9439133828176,951.2800000000002,5,2,5,2
864691135504168285,V1,L4,4P,28.430014,0.149235,691.7449708590619,312.39673143095996,837.3600000000002,5,5,5,5
864691135276505573,V1,L4,4P,135.6323,0.290814,482.0658674383035,290.19751872719735,809.3600000000002,1,0,1,0
864691135503443549,V1,L4,4P,34.733696,0.0494714,866.7148951855313,317.1685232526598,725.0800000000002,0,0,0,0
864691136107283417,V1,L4,4P,57.955826,0.0797178,835.6023492410674,297.5502326835602,870.4800000000002,0,4,0,4
864691136085781356,V1,L4,4P,13.928375,0.424983,614.4674585256686,314.5015619614862,868.8400000000003,3,4,3,4
864691135611019015,V1,L4,4P,104.83581,0.478605,649.24863080103,284.8440852119103,899.8000000000003,2,0,2,0
864691135808925981,V1,L4,4P,93.36962,0.0845743,710.7779795900369,323.9555522465375,746.7600000000001,0,2,0,2
864691136954028511,V1,L4,4P,129.6615,0.0633311,753.1637427425186,298.4325923480122,727.0000000000001,1,0,1,0
864691137199050049,V1,L4,4P,80.81684,0.260469,498.00850868878626,321.6587308773738,761.0400000000001,2,2,2,2
864691136313406781,V1,L4,4P,94.681274,0.304537,612.5345625435871,289.5983346782111,886.4800000000002,3,1,3,1
864691135499231763,V1,L4,4P,152.04794,0.239629,697.2512343232254,321.42298151963024,765.9600000000002,2,0,2,0
864691136725093373,V1,L4,4P,0.60661024,0.479791,498.33419833614073,298.10950468512686,737.4400000000002,0,1,0,1
864691135455819114,V1,L4,4P,15.720091,0.19905,677.2226594436999,294.808098534818,924.4400000000003,4,0,4,0
864691136975300636,V1,L4,4P,56.06243,0.0784856,586.0089270393485,308.60680618689054,730.5600000000002,0,0,0,0
864691136025504569,V1,L4,4P,7.981723,0.198439,574.9776721437703,326.015614745456,761.9600000000002,1,1,1,1
864691136023889209,V1,L4,4P,9.463964,0.347453,613.3651884838455,307.2739897027744,860.1200000000002,3,2,3,2
