neuron_id,brain_area,layer,cell_type,pref_ori,gOSI,x,y,z,out_degree,in_degree,out_strength,in_strength
864691135694415551,V1,L4,4P,177.0789,0.449638,620.0538654218548,292.5047448737744,810.6400000000002,0,3,0.0,21340.0
864691136006519498,V1,L4,4P,48.32311,0.195462,654.261634304255,298.77400480524085,887.8800000000002,1,3,26432.0,12420.0
864691135294520844,V1,L4,4P,109.30071,0.176783,670.1099413292117,304.14370912137485,822.5200000000002,0,6,0.0,35364.0
864691136905758130,V1,L4,4P,95.166,0.46423,708.944706691632,299.3822632017234,904.3200000000003,2,6,16520.0,45724.0
864691135725842603,V1,L4,4P,89.95724,0.108664,679.6022840512328,287.43544129829706,834.2400000000002,7,5,113280.0,37200.0
864691134949081852,V1,L4,4P,156.79047,0.15516,663.2192724748032,286.7088026765761,901.4800000000002,3,2,11912.0,6596.0
864691135569902316,V1,L4,4P,177.68338,0.225673,949.8394182253581,293.0254310438876,965.7600000000002,1,2,1196.0,13300.0
864691135988742147,V1,L4,4P,8.61656,0.300896,895.7646912306514,316.305094195401,871.4000000000002,2,2,21076.0,4728.0
864691135375888840,V1,L4,4P,107.94582,0.0664326,642.8078410742587,302.654507433057,856.6400000000002,7,2,61904.0,9040.0
864691134966714655,V1,L4,4P,84.94558,0.19722,628.7909571743838,299.1153880881591,805.7600000000002,4,4,69896.0,33128.0
864691135480916422,V1,L4,4P,130.62506,0.378881,682.073786244631,300.30783023384544,903.3200000000003,4,3,24660.0,50692.0
864691135927381774,V1,L4,4P,23.82286,0.296526,481.44604835360946,309.0311656470652,803.8000000000003,4,1,29472.0,3560.0
864691135751110185,V1,L4,4P,9.927296,0.201253,662.4813622742564,292.9402019204,847.0800000000003,3,3,8432.0,9520.0
864691136484732972,V1,L4,4P,90.60854,0.31584,680.1125092022871,302.89875291952603,929.4000000000002,0,4,0.0,20528.0
864691136043283030,V1,L4,4P,15.475934,0.398974,642.9863360354059,300.6143006913651,866.3200000000003,3,4,13040.0,36552.0
864691136275894285,V1,L4,4P,140.4715,0.402927,628.5295730321677,300.63438720935625,843.5200000000002,3,1,32964.0,34844.0
864691135760106830,V1,L4,4P,99.65268,0.274704,670.9162321603724,283.91299803412966,903.1600000000002,5,3,13636.0,8784.0
864691136664127454,V1,L4,4P,172.19559,0.295635,591.7348987676851,295.2952028361934,922.8000000000003,0,3,0.0,21420.0
864691135465343045,V1,L4,4P,8.269348,0.456332,705.8868532187548,304.96098242197576,868.3600000000002,0,5,0.0,34416.0
864691135577816862,V1,L4,4P,108.961525,0.5996,679.2120576112317,312.45664405367086,872.2400000000002,4,0,49020.0,0.0
864691135782506832,V1,L4,4P,15.506071,0.326413,642.5486822841947,289.4617177083047,867.0800000000003,4,2,19700.0,18348.0
864691135765013302,V1,L4,4P,91.72752,0.36992,658.8154525180944,300.32881272755964,861.8400000000003,2,2,40020.0,24120.0
864691135779020221,V1,L4,4P,44.819565,0.149226,790.4924568702594,310.8853908113861,760.4800000000001,2,0,14200.0,0.0
864691136975624220,V1,L4,4P,169.4282,0.0644944,617.6191258271781,288.75828693245006,897.6400000000002,3,5,54428.0,59836.0
864691135102433056,V1,L4,4P,27.225084,0.355721,646.2046211903935,316.7000036807027,805.8000000000003,4,6,38856.0,109292.0
864691135258563503,V1,L4,4P,6.14482,0.376812,725.6050559809164,299.8761878508764,828.8400000000003,5,2,11312.0,28144.0
864691136052738803,V1,L4,4P,40.899868,0.025117,651.0641581773502,290.52794766149793,929.3600000000002,1,1,3024.0,12872.0
864691136913993713,V1,L4,4P,81.92151,0.160368,611.6603823043963,296.6529899433115,913.7200000000003,5,1,39748.0,2000.0
864691136177799686,V1,L4,4P,118.53221,0.107855,638.9178588190625,298.6522433170523,821.6000000000003,2,1,9468.0,1240.0
864691136033332155,V1,L4,4P,2.2607393,0.188376,726.8811389920738,313.92888055187285,901.5600000000003,5,6,15420.0,34288.0
864691135294441654,V1,L4,4P,159.47307,0.12785,647.0118079972771,305.2708633167563,837.2000000000003,8,0,62248.0,0.0
864691135466236229,V1,L4,4P,89.71243,0.152275,669.0635087846242,301.41813488286516,887.2800000000002,3,0,36396.0,0.0
864691136091074615,V1,L4,4P,9.178059,0.222302,790.4573127573524,303.9439133828176,951.2800000000002,5,2,43152.0,38700.0
864691135504168285,V1,L4,4P,28.430014,0.149235,691.7449708590619,312.39673143095996,837.3600000000002,5,5,40900.0,19344.0
864691135276505573,V1,L4,4P,135.6323,0.290814,482.0658674383035,290.19751872719735,809.3600000000002,1,0,3560.0,0.0
864691135503443549,V1,L4,4P,34.733696,0.0494714,866.7148951855313,317.1685232526598,725.0800000000002,0,0,0.0,0.0
864691136107283417,V1,L4,4P,57.955826,0.0797178,835.6023492410674,297.5502326835602,870.4800000000002,0,4,0.0,8760.0
864691136085781356,V1,L4,4P,13.928375,0.424983,614.4674585256686,314.5015619614862,868.8400000000003,3,4,10684.0,35204.0
864691135611019015,V1,L4,4P,104.83581,0.478605,649.24863080103,284.8440852119103,899.8000000000003,2,0,21048.0,0.0
864691135808925981,V1,L4,4P,93.36962,0.0845743,710.7779795900369,323.9555522465375,746.7600000000001,0,2,0.0,5000.0
864691136954028511,V1,L4,4P,129.6615,0.0633311,753.1637427425186,298.4325923480122,727.0000000000001,1,0,968.0,0.0
864691137199050049,V1,L4,4P,80.81684,0.260469,498.00850868878626,321.6587308773738,761.0400000000001,2,2,32908.0,20780.0
864691136313406781,V1,L4,4P,94.681274,0.304537,612.5345625435871,289.5983346782111,886.4800000000002,3,1,10032.0,6960.0
864691135499231763,V1,L4,4P,152.04794,0.239629,697.2512343232254,321.42298151963024,765.9600000000002,2,0,4980.0,0.0
864691136725093373,V1,L4,4P,0.60661024,0.479791,498.33419833614073,298.10950468512686,737.4400000000002,0,1,0.0,33944.0
864691135455819114,V1,L4,4P,15.720091,0.19905,677.2226594436999,294.808098534818,924.4400000000003,4,0,55888.0,0.0
864691136975300636,V1,L4,4P,56.06243,0.0784856,586.0089270393485,308.60680618689054,730.5600000000002,0,0,0.0,0.0
864691136025504569,V1,L4,4P,7.981723,0.198439,574.9776721437703,326.015614745456,761.9600000000002,1,1,12824.0,8252.0
864691136023889209,V1,L4,4P,9.463964,0.347453,613.3651884838455,307.2739897027744,860.1200000000002,3,2,34340.0,1864.0
864691135465113157,V1,L4,4P,64.02631,0.120872,655.381967625115,282.29694811267063,905.1600000000002,3,2,12516.0,3600.0
864691135339729894,V1,L4,4P,53.602913,0.100906,865.7696463885576,311.81777819128575,896.1600000000002,1,0,3716.0,0.0
864691135868060950,V1,L4,4P,127.462906,0.178285,738.8759372511706,298.7244386113224,784.2800000000001,0,1,0.0,1732.0
864691136210847932,V1,L4,4P,7.297611,0.366424,512.5998654229764,313.49137214547017,730.2400000000001,1,1,8252.0,12824.0
864691135474504498,V1,L4,4P,12.317295,0.284296,623.1948393633094,308.0054837819396,817.7200000000003,2,1,3636.0,4892.0
864691136311529306,V1,L4,4P,89.79796,0.110641,932.993435343453,297.59057865843,731.2000000000002,0,0,0.0,0.0
864691135810982860,V1,L4,4P,46.575016,0.128393,622.8367799996607,287.86563866108264,956.9200000000003,2,3,22416.0,22464.0
864691136012739747,V1,L4,4P,51.620804,0.10751,650.1444582221496,289.29108388872254,860.4400000000003,2,1,21364.0,3732.0
864691135742189163,V1,L4,4P,170.84512,0.223638,871.4755894207804,289.1889744643311,709.0000000000001,2,1,12332.0,1264.0
864691135374981320,V1,L4,4P,3.896534,0.130648,758.9830948987812,297.27136348107814,957.1600000000003,1,4,4264.0,36220.0
864691136380266965,V1,L4,4P,160.76909,0.159638,945.6593238364206,287.19894025615145,982.0400000000003,1,0,1224.0,0.0
864691135271463077,V1,L4,4P,130.2068,0.324157,819.815457680882,296.6187699269503,725.2000000000002,1,0,2908.0,0.0
864691135430486576,V1,L4,4P,4.790348,0.399882,847.6842852723396,306.3166014720748,940.3600000000002,1,4,384.0,35080.0
864691134886499066,V1,L4,4P,141.34697,0.208946,905.9830657080558,300.11005720749876,741.1600000000001,3,0,17984.0,0.0
864691134966069023,V1,L4,4P,148.44691,0.160675,782.8406699694375,291.1353387298241,728.1200000000001,5,1,24632.0,3212.0
864691136953677535,V1,L4,4P,49.796185,0.142824,842.0840923357897,307.175781938227,953.4400000000003,2,3,16048.0,18000.0
864691136058745048,V1,L4,4P,5.204024,0.251066,689.6028000377871,316.32096182333987,881.6800000000003,4,11,27996.0,66764.0
864691135592830731,V1,L4,4P,138.99384,0.286046,744.5201470616697,314.25144887135195,891.7600000000002,1,4,2272.0,38068.0
864691136211371452,V1,L4,4P,155.48685,0.166417,704.2691848114811,318.310793391578,848.4800000000002,3,1,15684.0,6968.0
864691135375590217,V1,L4,4P,90.74219,0.0426037,846.8123303853009,298.6594678912255,944.6800000000003,3,2,8540.0,3760.0
864691136125440038,V1,L4,4P,134.291,0.250864,585.2980107007578,305.7178524040265,706.9600000000002,1,2,3932.0,62900.0
864691135583172717,V1,L4,4P,7.796085,0.443948,811.8850036907761,300.6147913872047,894.3200000000003,1,1,3988.0,13628.0
864691135360809560,V1,L4,4P,98.0686,0.336467,630.0701615134166,307.2578626665044,945.6400000000002,6,5,45748.0,37324.0
864691136101516661,V1,L4,4P,88.34306,0.248934,867.6639299985944,304.8523704067589,946.4400000000003,1,0,17900.0,0.0
864691135725748139,V1,L4,4P,47.95204,0.4919,683.1250742466628,309.5867651693208,865.0000000000002,3,0,22884.0,0.0
864691135280682401,V1,L4,4P,9.730391,0.394114,696.5544217819503,297.0776088118173,877.0400000000003,7,6,66448.0,32212.0
864691135763795510,V1,L4,4P,93.800064,0.134405,823.6025220588951,290.7826260462029,952.0000000000002,3,2,19136.0,5700.0
864691135646481135,V1,L4,4P,135.69917,0.0603027,781.9266058036499,294.9742811233517,956.0400000000003,1,1,4964.0,3716.0
