pre_neuron_id,post_neuron_id,n_synapses
864691136006519498,864691136125440038,1
864691136905758130,864691135386963541,1
864691136905758130,864691136010639022,1
864691135725842603,864691134949081852,1
864691135725842603,864691134966714655,1
864691135725842603,864691135102433056,1
864691135725842603,864691135294520844,1
864691135725842603,864691135357351375,1
864691135725842603,864691135562004193,1
864691135725842603,864691136975624220,1
864691134949081852,864691135357351375,1
864691134949081852,864691136010639022,1
864691134949081852,864691136107283417,1
864691135569902316,864691136058745048,1
864691135988742147,864691135765013302,1
864691135988742147,864691136058745048,1
864691135375888840,864691134966714655,1
864691135375888840,864691135124603687,1
864691135375888840,864691135430486576,1
864691135375888840,864691136085781356,1
864691135375888840,864691136125440038,1
864691135375888840,864691136239980604,1
864691135375888840,864691136905758130,1
864691134966714655,864691135357351375,1
864691134966714655,864691135725842603,1
864691134966714655,864691136239902780,1
864691134966714655,864691136275894285,1
864691135480916422,864691135280682401,1
864691135480916422,864691136006519498,1
864691135480916422,864691136023889209,1
864691135480916422,864691136953677535,1
864691135927381774,864691135258563503,1
864691135927381774,864691135294520844,1
864691135927381774,864691135694415551,1
864691135927381774,864691136211371452,1
864691135751110185,864691135592830731,1
864691135751110185,864691135725842603,1
864691135751110185,864691136058745048,1
864691136043283030,864691135782506832,1
864691136043283030,864691136023889209,1
864691136043283030,864691136239980604,1
864691136275894285,864691135592830731,1
864691136275894285,864691136033332155,1
864691136275894285,864691136058745048,1
864691135760106830,864691135124603687,1
864691135760106830,864691135465113157,1
864691135760106830,864691135504168285,1
864691135760106830,864691135751110185,1
864691135760106830,864691136524297617,1
864691135577816862,864691135357351375,1
864691135577816862,864691135386963541,1
864691135577816862,864691135430275120,1
864691135577816862,864691135480916422,1
864691135782506832,864691135280682401,1
864691135782506832,864691136006519498,1
864691135782506832,864691136043283030,1
864691135782506832,864691136120159768,1
864691135765013302,864691135725842603,1
864691135765013302,864691136975624220,1
864691135779020221,864691135504168285,1
864691135779020221,864691135742189163,1
864691136975624220,864691134966714655,1
864691136975624220,864691135102433056,1
864691136975624220,864691135294520844,1
864691135102433056,864691135357351375,1
864691135102433056,864691135360809560,1
864691135102433056,864691135465343045,1
864691135102433056,864691136033332155,1
864691135258563503,864691135360809560,1
864691135258563503,864691135480916422,1
864691135258563503,864691135763795510,1
864691135258563503,864691135868060950,1
864691135258563503,864691135942924148,1
864691136052738803,864691136484732972,1
864691136913993713,864691135124603687,1
864691136913993713,864691135294520844,1
864691136913993713,864691135583172717,1
864691136913993713,864691135942924148,1
864691136913993713,864691136033332155,1
864691136177799686,864691135694415551,1
864691136177799686,864691136905758130,1
864691136033332155,864691134966714655,1
864691136033332155,864691135357351375,1
864691136033332155,864691135810982860,1
864691136033332155,864691135988742147,1
864691136033332155,864691136523335057,1
864691135294441654,864691135102433056,1
864691135294441654,864691135357351375,1
864691135294441654,864691135430275120,1
864691135294441654,864691135474504498,1
864691135294441654,864691135808925981,1
864691135294441654,864691136058745048,1
864691135294441654,864691136725093373,1
864691135294441654,864691136913993713,1
864691135466236229,864691135810982860,1
864691135466236229,864691136058745048,1
864691135466236229,864691136905758130,1
864691136091074615,864691135465343045,1
864691136091074615,864691135592830731,1
864691136091074615,864691135988742147,1
864691136091074615,864691136058745048,1
864691136091074615,864691136107283417,1
864691135504168285,864691135592830731,1
864691135504168285,864691136033332155,1
864691135504168285,864691136058745048,1
864691135504168285,864691136484732972,1
864691135504168285,864691136523335057,1
864691135276505573,864691135927381774,1
864691136085781356,864691135430486576,1
864691136085781356,864691136010639022,1
864691136085781356,864691136664127454,1
864691135611019015,864691135258563503,1
864691135611019015,864691136524297617,1
864691136954028511,864691135725842603,1
864691137199050049,864691136043283030,1
864691137199050049,864691136975624220,1
864691136313406781,864691135124603687,1
864691136313406781,864691135810982860,1
864691136313406781,864691136239902780,1
864691135499231763,864691135102433056,1
864691135499231763,864691135990004992,1
864691135455819114,864691135725842603,1
864691135455819114,864691136085781356,1
864691135455819114,864691136091074615,1
864691135455819114,864691136120159768,1
864691136025504569,864691136210847932,1
864691136023889209,864691135102433056,1
864691136023889209,864691135990004992,1
864691136023889209,864691137199050049,1
864691135465113157,864691135357351375,1
864691135465113157,864691135374981320,1
864691135465113157,864691136523335057,1
864691135339729894,864691135646481135,1
864691136210847932,864691136025504569,1
864691135474504498,864691135357351375,1
864691135474504498,864691135808925981,1
864691135810982860,864691136120159768,1
864691135810982860,864691136664127454,1
864691136012739747,864691135465343045,1
864691136012739747,864691135760106830,1
864691135742189163,864691135375888840,1
864691135742189163,864691136043283030,1
864691135374981320,864691135357351375,1
864691136380266965,864691135569902316,1
864691135271463077,864691135764015926,1
864691135430486576,864691135375590217,1
864691134886499066,864691135124603687,1
864691134886499066,864691136010639022,1
864691134886499066,864691136052738803,1
864691134966069023,864691135430486576,1
864691134966069023,864691135765013302,1
864691134966069023,864691135990004992,1
864691134966069023,864691136006519498,1
864691134966069023,864691136484732972,1
864691136953677535,864691135569902316,1
864691136953677535,864691135942924148,1
864691136058745048,864691135374981320,1
864691136058745048,864691135504168285,1
864691136058745048,864691135942924148,1
864691136058745048,864691136010639022,1
864691135592830731,864691135374981320,1
864691136211371452,864691135760106830,1
864691136211371452,864691136010639022,1
864691136211371452,864691136975624220,1
864691135375590217,864691135280682401,1
864691135375590217,864691136905758130,1
864691135375590217,864691136953677535,1
864691136125440038,864691135280682401,1
864691135583172717,864691136033332155,1
864691135360809560,864691134949081852,1
864691135360809560,864691135375888840,1
864691135360809560,864691136010639022,1
864691135360809560,864691136091074615,1
864691135360809560,864691136524297617,1
864691135360809560,864691136975624220,1
864691136101516661,864691135386963541,1
864691135725748139,864691135465343045,1
864691135725748139,864691136012739747,1
864691135725748139,864691136085781356,1
864691135280682401,864691135102433056,1
864691135280682401,864691135357351375,1
864691135280682401,864691135374981320,1
864691135280682401,864691135480916422,1
864691135280682401,864691136010639022,1
864691135280682401,864691136058745048,1
864691135280682401,864691136177799686,1
864691135763795510,864691134966069023,1
864691135763795510,864691135430486576,1
864691135763795510,864691136107283417,1
864691135646481135,864691135763795510,1
864691136239902780,864691135386963541,1
864691136239902780,864691135782506832,1
864691135990004992,864691135280682401,1
864691135990004992,864691136043283030,1
864691136120159768,864691135360809560,1
864691136120159768,864691135562004193,1
864691136120159768,864691137199050049,1
864691136239980604,864691135124603687,1
864691136239980604,864691136085781356,1
864691136239980604,864691136484732972,1
864691136239980604,864691136905758130,1
864691135124603687,864691135294520844,1
864691135357351375,864691135280682401,1
864691135357351375,864691135751110185,1
864691135562004193,864691135294520844,1
864691135562004193,864691135504168285,1
864691135562004193,864691135694415551,1
864691135562004193,864691136010639022,1
864691135562004193,864691136313406781,1
864691135942924148,864691135360809560,1
864691135942924148,864691136524297617,1
864691135499707667,864691135375590217,1
864691135499707667,864691135465113157,1
864691135499707667,864691135760106830,1
864691135499707667,864691135942924148,1
864691135499707667,864691136033332155,1
864691135499707667,864691136058745048,1
864691135499707667,864691136664127454,1
864691135499707667,864691136905758130,1
864691136523335057,864691135386963541,1
864691136523335057,864691136107283417,1
864691136523335057,864691136239902780,1
864691136010639022,864691135360809560,1
864691136010639022,864691135465343045,1
864691136010639022,864691135751110185,1
864691136010639022,864691136058745048,1
864691135386963541,864691135504168285,1
864691135386963541,864691135764015926,1
864691135386963541,864691136953677535,1
