neuron_id,brain_area,layer,cell_type,pref_ori,gOSI,x,y,z,out_degree,in_degree,out_strength,in_strength
864691135583352941,V1,L4,4P,15.9916725,0.254338,946.6640226810885,263.9660975495105,972.1600000000003,4,4,4,4
864691135993150913,V1,L2/3,23P,13.7101555,0.331387,678.864431145819,157.08310317929758,861.7200000000003,16,22,16,22
864691135942924148,V1,L4,4P,100.96892,0.409572,804.5163637578535,301.12651938031945,946.7600000000002,14,19,14,19
864691135464143934,V1,L2/3,23P,92.68551,0.286413,1008.7143764506483,214.14455621373415,720.8400000000001,4,4,4,4
864691135778288573,V1,L6,6P-IT,161.05428,0.0937083,594.103628428709,523.7630403271476,861.3600000000002,20,3,20,3
864691135741963627,V1,L4,4P,56.229927,0.227465,680.2908306978029,285.439858296892,858.2000000000003,28,4,28,4
864691136523033233,V1,L5,5P-IT,5.403525,0.18484,689.6105174147755,506.4210225609476,913.8000000000003,1,7,1,7
864691136390788215,V1,L2/3,23P,64.03189,0.210966,609.1075802414332,212.01241564453133,757.7200000000001,10,16,10,16
864691135976063855,V1,L4,4P,50.800385,0.362382,680.828396642076,322.6201926533171,856.4000000000002,63,16,63,16
864691135346571423,V1,L4,4P,171.06213,0.0640169,900.3522085372141,338.0356138615753,827.7600000000002,20,11,20,11
864691135499707667,V1,L4,4P,144.81436,0.53289,701.4571374890104,283.62973542247636,911.3600000000002,28,15,28,15
864691135810466333,V1,L5,4P,99.71643,0.699637,674.8423415003859,382.2293042373748,847.3600000000002,16,17,16,17
864691135801604706,AL,L4,4P,82.42613,0.39816,1295.8106726807046,253.20327737794648,815.6800000000003,11,3,11,3
864691135503163202,V1,L4,4P,173.91776,0.58564,500.34466546683035,275.8640778760855,915.6800000000003,19,9,19,9
864691135810773452,V1,L4,4P,96.0982,0.122577,701.2220246986589,282.645498674629,828.2400000000002,26,6,26,6
864691135810492189,V1,L4,4P,101.01002,0.327123,691.4233563371827,343.97687285083515,851.1200000000002,27,25,27,25
864691135953985800,V1,L2/3,23P,109.74377,0.39773,549.7055759662936,197.0502543001164,950.1200000000002,5,2,5,2
864691135342958789,V1,L4,4P,87.29169,0.514746,767.5740322321468,276.17985344186593,938.0800000000003,29,13,29,13
864691136195834070,V1,L4,4P,77.33842,0.13698,698.9170233774902,264.1984078224266,969.0400000000003,15,10,15,10
864691135587371132,V1,L2/3,23P,144.70335,0.144167,634.375832054199,211.78181138036126,859.7200000000003,15,11,15,11
864691135915343462,RL,L4,4P,99.35604,0.0118247,1269.7161883368517,342.9183862884774,800.6400000000002,18,3,18,3
864691135492568551,V1,L4,4P,48.183308,0.0715917,601.615300399432,273.41708373067235,907.7600000000002,18,28,18,28
864691136523335057,V1,L4,4P,1.3409562,0.397184,782.6239673893854,297.2838487925791,874.1600000000002,20,14,20,14
864691135325071004,V1,L2/3,23P,10.321683,0.423905,646.5263216549724,80.2442562165925,843.8800000000002,15,13,15,13
864691135928366606,V1,L2/3,23P,90.53062,0.276964,640.1249246322145,128.44575897487817,886.6400000000002,20,26,20,26
864691134965778719,V1,L2/3,23P,49.20172,0.240366,910.9239885072773,140.8305805072905,921.0400000000003,4,7,4,7
864691135919956656,V1,L2/3,23P,100.36028,0.115731,694.2263569062359,212.07122965157748,854.1600000000002,16,26,16,26
864691136452447743,V1,L2/3,23P,93.478065,0.504602,579.5285706161884,138.884160000152,942.0000000000002,10,17,10,17
864691136176327430,AL,L2/3,23P,99.99489,0.106549,1247.8400919435412,229.47607662144637,757.5600000000002,0,7,0,7
864691135360017752,RL,L2/3,23P,111.28903,0.176368,1172.4020659899927,170.902328643092,767.7600000000001,4,7,4,7
864691135701624699,AL,L2/3,23P,163.84071,0.454246,1265.3423673994762,189.50539994635648,757.8800000000001,8,2,8,2
864691135280481697,V1,L5,5P-IT,105.43913,0.493369,669.9300883440686,397.98914411372664,886.6400000000002,6,25,6,25
864691135341198789,AL,L2/3,23P,179.57742,0.384874,1345.2417271146612,246.2851520865651,731.9600000000002,2,1,2,1
864691135858273326,V1,L4,4P,101.49588,0.243199,533.2541264641172,346.90666488464007,861.1600000000002,11,13,11,13
864691135113733529,RL,L4,4P,96.53709,0.414116,1041.621236516954,337.3534249877659,953.0800000000003,3,8,3,8
864691135646775791,V1,L2/3,23P,95.0262,0.0667986,686.4854381685948,203.6204061948227,851.6400000000002,22,7,22,7
864691135787537348,V1,L4,4P,119.635155,0.169431,852.4473783253723,279.04395171873847,858.8000000000003,8,13,8,13
864691135480892614,V1,L5,5P-IT,80.49526,0.0941649,614.5071403390675,370.5904556335286,887.6400000000002,39,42,39,42
864691135272003237,V1,L2/3,23P,90.40701,0.209631,696.9327692500442,137.07773614563868,861.2800000000002,8,24,8,24
864691135336055529,V1,L4,4P,106.356285,0.54086,560.5204465655154,284.9192002476017,820.9600000000003,27,15,27,15
864691135493079783,AL,L2/3,23P,117.486565,0.2369,1379.6226729257476,202.84434356352844,764.7200000000001,5,4,5,4
864691135857993774,V1,L5,5P-IT,89.032486,0.363491,644.1251665627527,369.8409847447703,914.5200000000002,11,14,11,14
864691135339103718,V1,L2/3,23P,83.222694,0.451588,983.3448830683913,211.86076867378787,735.9200000000002,1,5,1,5
864691135865648254,V1,L6,6P-IT,102.67346,0.361435,627.2819877785147,552.8132697729741,862.1200000000002,4,10,4,10
864691136010639022,V1,L4,4P,69.37931,0.289222,683.7655867156856,288.31363884108623,940.3200000000003,28,31,28,31
864691135655894978,V1,L4,4P,100.75161,0.356224,646.6877076614268,257.57311176626587,828.9200000000003,10,10,10,10
864691135431654960,V1,L2/3,23P,32.231796,0.181602,716.3740390524905,168.20259393597215,832.3600000000002,14,10,14,10
864691135772920651,V1,L5,5P-IT,88.40609,0.258263,1004.438965917762,378.30059291289217,732.4000000000001,2,3,2,3
864691135848030814,RL,L2/3,23P,61.9969,0.291228,1246.7714631725644,237.28465347960946,829.5200000000002,5,4,5,4
864691135741780116,V1,L2/3,23P,124.91152,0.309435,630.7200666136316,199.96221328890516,850.1200000000002,23,15,23,15
864691137055367798,V1,L4,4P,81.93239,0.278955,707.2477038318709,273.9857181356331,847.5200000000002,6,19,6,19
864691135271038885,V1,L2/3,23P,14.356718,0.363235,655.3774007503125,159.71810056080443,812.6000000000003,13,12,13,12
864691136364308962,V1,L2/3,23P,83.496414,0.373947,688.8625769621565,116.96985598793631,818.1200000000002,9,22,9,22
864691135499283987,V1,L6,6P-IT,86.89249,0.227349,653.211503266509,534.0096223991835,921.9600000000003,4,11,4,11
864691134942169955,V1,L2/3,23P,94.47429,0.179727,564.823227065931,215.91161759203237,896.4000000000002,11,9,11,9
864691135740860820,RL,L2/3,23P,114.0958,0.0660739,1113.180435623634,250.07409593895562,771.9600000000002,6,3,6,3
864691135477839784,V1,L6,6P-IT,43.70419,0.113574,644.603832030536,555.2924018204292,855.9600000000003,2,5,2,5
864691136675427975,V1,L5,5P-IT,172.46774,0.449977,677.2197407557666,389.56843584680354,830.2400000000002,27,15,27,15
864691134949248508,V1,L5,5P-IT,107.55033,0.271784,663.4970441151082,395.88445840126514,894.6000000000003,34,22,34,22
864691135465100189,V1,L4,4P,82.95856,0.0318509,648.5189864951878,317.41644016495223,846.9600000000003,24,14,24,14
864691135817195343,V1,L6,6P-IT,101.09252,0.135709,608.7333662474356,526.9060661551231,920.3200000000003,15,4,15,4
864691136724880893,RL,L2/3,23P,164.8421,0.178317,1269.7035868548528,214.556833535316,855.4800000000002,1,6,1,6
864691136389921911,V1,L2/3,23P,61.419777,0.266411,704.6016948066131,192.6134572340318,864.2000000000003,9,20,9,20
864691136389607287,RL,L4,4P,9.3516655,0.288834,1214.6580335738333,296.663739018268,851.8000000000003,8,3,8,3
864691135477469352,V1,L4,4P,84.41945,0.515986,485.80943533926114,314.2312477630943,825.3200000000003,9,8,9,8
864691135164772653,V1,L2/3,23P,100.8599,0.0676045,661.0852222034248,91.54013222601625,877.6000000000003,27,22,27,22
864691136524297617,V1,L4,4P,96.32609,0.409412,702.2757693403511,297.7708952720775,832.4400000000003,1,13,1,13
864691136298125851,V1,L2/3,23P,4.0535245,0.378715,654.9131000684076,188.52324636631604,816.2800000000002,14,24,14,24
864691135742756203,V1,L2/3,23P,164.33733,0.144851,638.1319430885347,217.314230552635,875.7600000000002,15,8,15,8
864691135369002233,V1,L6,6P-CT,40.99347,0.110768,660.0647448339812,554.0752776343825,904.8000000000003,4,5,4,5
864691136665051614,V1,L2/3,23P,83.84706,0.0763639,702.7679306856248,195.215535854784,822.5600000000003,17,23,17,23
864691135503836253,V1,L4,4P,121.09177,0.217016,796.6564292810697,339.5637462056338,849.0000000000002,40,15,40,15
864691135119709149,V1,L4,4P,36.997032,0.185487,582.0977310029299,260.7879578364263,819.9200000000003,34,7,34,7
864691135698211994,V1,L2/3,23P,88.36842,0.176891,670.986664677507,239.78320946381655,886.4800000000002,16,27,16,27
864691135397982753,V1,L5,5P-IT,92.669044,0.37022,1035.5712514489544,381.53827072334576,741.8800000000001,3,7,3,7
864691135989817088,RL,L2/3,23P,5.946004,0.432888,1184.1804507784227,187.54420990019997,940.0800000000003,13,6,13,6
864691136021865976,V1,L4,4P,23.687641,0.172758,696.9286946513126,270.7701209078143,858.2800000000002,24,14,24,14
864691136953873631,V1,L5,5P-IT,91.92462,0.713378,594.8143707749246,369.5100062392655,848.3200000000003,3,11,3,11
864691135257669039,V1,L2/3,23P,32.11929,0.277084,652.630035038553,207.2756225909298,879.6000000000003,25,33,25,33
864691135501703746,AL,L2/3,23P,0.23661667,0.393937,1314.5040609058972,183.46313120185764,740.0000000000001,3,5,3,5
864691136275031565,RL,L5,5P-IT,176.31917,0.32504,1212.0203487919014,388.49529644266966,762.3600000000001,3,14,3,14
