id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size
151340914,88468355979220997,864691136052738803,88468355979220997,864691136052738803,764.0
171888711,90157617820808835,864691135480916422,90157617820808835,864691135480916422,2748.0
146898952,88180352182858079,864691135562004193,88180352182858079,864691135562004193,456.0
165602889,89522443764420459,864691136043283030,89522443764420459,864691136043283030,268.0
165602676,89522443764460538,864691137199050049,89452143739756157,864691136043283030,13988.0
152920865,88396406486037213,864691135124603687,88396406486037213,864691135124603687,192.0
152562259,88396612644251885,864691135124603687,88396612644251885,864691135124603687,196.0
152562265,88396337766482450,864691135124603687,88396337766482450,864691135124603687,548.0
161745286,89029244281411255,864691136052738803,89029244281391507,864691136052738803,236.0
161745980,89170050489144686,864691136052738803,89170050489144653,864691136052738803,776.0
162069295,89101537036939473,864691135577816862,89101537036939460,864691135480916422,6860.0
171550916,90086561613803790,864691135124603687,90086561613803790,864691135124603687,168.0
152562801,88537212693792681,864691135124603687,88537212693798295,864691135124603687,580.0
145447444,87976324324506239,864691135725748139,87976324324506239,864691135725748139,200.0
161362937,89240075568804454,864691135465113157,89240075568792975,864691135465113157,356.0
159525085,89241106092941666,864691135742189163,89241106092946748,864691136043283030,7904.0
140304607,87345548180488511,864691136120159768,87345548180488511,864691136120159768,380.0
194712375,92194875763909338,864691135646481135,92194875763909338,864691135646481135,644.0
139232566,87623450012853335,864691136913993713,87623450012850048,864691135124603687,5608.0
111777182,85088800430741183,864691136120159768,85088800430732221,864691135562004193,4408.0
237382627,95289932611968763,864691135646481135,95289932611968763,864691135646481135,164.0
164818932,89941151872248947,864691135646481135,89941151872248947,864691135646481135,1648.0
215402731,93743881489200814,864691135646481135,93743881489192530,864691135646481135,224.0
236657865,95572438045624070,864691135646481135,95572438045615643,864691135763795510,4964.0
215402653,93743744050235230,864691135646481135,93743744050255289,864691135646481135,208.0
140259833,87198832366496796,864691135646481135,87198832366496796,864691135646481135,1612.0
215402058,93532843976007769,864691135646481135,93532843976007769,864691135646481135,712.0
230133784,94660873918146961,864691136091074615,94590505173978220,864691135988742147,2004.0
250264710,96346769109418569,864691135386963541,96346769109418569,864691135386963541,248.0
219740229,94447500144363051,864691135386963541,94447500144363051,864691135386963541,428.0
219738845,94096000020808697,864691135386963541,94096000020808697,864691135386963541,436.0
219618475,94236737508928403,864691135386963541,94236737508928403,864691135386963541,832.0
231629768,94517731650704850,864691136239902780,94517731650699289,864691135386963541,4372.0
257651735,97119863222858867,864691135577816862,97119931942385765,864691135386963541,1212.0
216490207,93954300258469461,864691136523335057,93954368977972163,864691135386963541,1568.0
154205501,88466500217965396,864691136275894285,88466500217965396,864691136275894285,188.0
154151959,88396406351741313,864691136275894285,88396406351741313,864691136275894285,216.0
188731090,91635086839447456,864691136275894285,91635086839447456,864691136275894285,612.0
146837301,87904443550790140,864691136275894285,87904443550790140,864691136275894285,328.0
132915853,86918044181924087,864691136275894285,86918044181924087,864691136275894285,724.0
165865496,89455648433577173,864691136275894285,89455648433577173,864691136275894285,1600.0
154151666,88396475071137416,864691136275894285,88396475071137416,864691136275894285,1152.0
219616748,94025699995935467,864691135386963541,94025699995935467,864691135386963541,248.0
234207067,95292887147110231,864691136101516661,95292887147102736,864691135386963541,17900.0
247384158,96079588052249744,864691135386963541,96079588052249744,864691135386963541,480.0
160869704,88959218933243851,864691136043283030,88959218933257859,864691136043283030,480.0
258908257,97053067757210511,864691135763795510,97053067757210511,864691135763795510,472.0
286875623,99309196427848741,864691135763795510,99309196427848741,864691135763795510,3112.0
202912199,92407837153915140,864691136091074615,92407837153904589,864691136058745048,8732.0
147635581,88258349057044640,864691135280682401,88258349057039645,864691135480916422,2280.0
174326515,90294575805437166,864691136058745048,90294575805437166,864691136058745048,1880.0
154579595,88396956107852586,864691135280682401,88467324851998189,864691136058745048,4196.0
196212168,91915462304220098,864691136058745048,91915462304220098,864691136058745048,284.0
168802951,89664074673121332,864691136058745048,89664074673121332,864691136058745048,3480.0
159767266,89242068299595959,864691136058745048,89242068299595959,864691136058745048,596.0
161018851,89100368738599623,864691136058745048,89100368738599623,864691136058745048,1780.0
185649618,91143536287816404,864691136058745048,91143536287816404,864691136058745048,868.0
171620836,90578387311102674,864691136058745048,90578387311102674,864691136058745048,168.0
177909456,90648549896872038,864691136058745048,90648549896872038,864691136058745048,4012.0
168469942,89593980606076267,864691135988742147,89593980606065892,864691136058745048,3684.0
175359207,90507674969569914,864691136058745048,90507674969569914,864691136058745048,568.0
