comparison,area,scope,n_conn,n_ctrl,mean_conn,mean_ctrl,mean_diff,ci_lo,ci_hi,cohens_d,p_one_sided
scan-9.3 sanity (trace-corr),V1 L4,scan93,221,4057,0.04424313618660387,0.018502032909092577,0.025773797964830557,0.017995588481969655,0.03423825474578102,0.710505108517155,4.800529847919452e-18
V1 within,V1,within,10441,254187,0.05444931583932853,0.03127970642645084,0.023192567020123643,0.020352359691734125,0.02602371371122506,0.17242917986279802,1.852645341622765e-57
RL within,RL,within,312,7069,0.0850755678222198,0.06788323640369932,0.017091276304813163,-0.0004327532859699251,0.03531981241014898,0.11668722868243835,0.028220859103616592
AL within,AL,within,91,1449,0.14670670374240655,0.1356099010026347,0.011228100271070624,-0.023252165822195643,0.045575130601656674,0.06887121899428689,0.23776999082282574
cross-area,cross,cross,736,135680,0.049648559955636884,0.0017643368734994685,0.047845422820785986,0.0374218052402239,0.058286164764870044,0.3450028418879835,5.2594090682199476e-20
