role,cohort,functional_metric,structural_metric,controls,rho,p_value,rank_variance_approx,ci_low_bootstrap,ci_high_bootstrap,n_neurons
primary,all_906,mean_fcorr_signed,total_strength,distance+area,0.10954215562122328,0.0009579571116966421,0.0119994838581443,0.043937725028935566,0.17424251184687228,906
strict layer,all_906,mean_fcorr_signed,total_strength,distance+area+layer,0.06837131117557094,0.039635078985811166,0.004674636191866751,-0.0003154867524011204,0.1356363672565795,906
strength beyond degree,all_906,mean_fcorr_signed,total_strength,distance+area+total_degree,0.04677858259106239,0.15947072090152986,0.0021882357892288457,-0.013506699851962616,0.11322175421276358,906
strict layer,all_906,mean_fcorr_signed,total_degree,distance+area+layer,0.05994361471025861,0.07132168576289627,0.0035932369445319324,-0.009361837725573736,0.12674853375800202,906
directional,all_906,mean_fcorr_signed,in_strength,distance+area,0.11693022140985807,0.00042057296677322205,0.01367267667895843,0.05285494192380179,0.17645819674303476,906
directional,all_906,mean_fcorr_signed,out_strength,distance+area,0.06646229628458362,0.04550524528951428,0.004417236827419778,0.0007243207423719098,0.12994652250173436,906
pairwise-distance residual,all_906,mean_fcorr_pairdist_resid,total_strength,raw,-0.05027875689190294,0.1304704225883214,0.0025279533945950774,-0.11926867379175904,0.01453668083771167,906
absolute-coupling check,all_906,mean_fcorr_abs,total_strength,distance+area,-0.003295273450912734,0.9210981598820499,1.0858827116290318e-05,-0.06970711847400068,0.057680279883347285,906
