strength_quartile,n_neurons,mean_total_strength,mean_total_degree,mean_signed_fcorr,mean_abs_fcorr
Q1 low,227,55591.3127753304,8.05726872246696,0.01905446380812172,0.10917616497286443
Q2,226,141938.38938053098,17.11061946902655,0.020207162518446755,0.10813183352691344
Q3,226,256585.29203539822,30.04424778761062,0.02531868353681875,0.10789744937125977
Q4 high,227,516805.05726872245,49.15418502202643,0.0282197124157192,0.10675707955540364
