pre_pt_root_id,post_pt_root_id,pre_pt_supervoxel_id,post_pt_supervoxel_id,size
864691135182837250,864691135182837250,2391227385945865032,2391227385945865032,30548.0
864691135417567674,864691135417567674,865266392283328076,865266392283328076,10528.0
864691135947700321,864691135947700321,1156264310540673130,1156264310540664029,18172.0
864691136175058182,864691136175058182,339227377467713663,339227377467713663,1076.0
