pre_neuron_id,post_neuron_id,synapse_size
864691135763941174,864691135619756943,5044.0
864691135763941174,864691135750307881,11860.0
864691135763941174,864691136137293195,9852.0
864691135763941174,864691136330101226,11884.0
864691135763941174,864691137021264750,9400.0
864691135763941174,864691135164772653,44956.0
864691135763941174,864691135927494158,1764.0
864691135763941174,864691136022520056,26276.0
864691135763941174,864691136034084795,3096.0
864691136488446226,864691135774389755,5820.0
864691135694415551,864691134948788476,2908.0
864691135694415551,864691135060651419,13760.0
864691135694415551,864691135398805281,2564.0
864691135694415551,864691135455507818,2992.0
864691135694415551,864691135493149927,3312.0
864691135694415551,864691135496381840,1176.0
864691135694415551,864691135685087474,19504.0
864691135694415551,864691135774053371,10640.0
864691135694415551,864691135774294603,2908.0
864691135694415551,864691135839950227,5340.0
864691135694415551,864691135877825107,10404.0
864691135694415551,864691135939008565,12288.0
864691135694415551,864691135947258916,1612.0
864691135694415551,864691136111559352,26408.0
864691135694415551,864691136195798504,4500.0
864691135694415551,864691136314491965,6552.0
864691135694415551,864691136618795227,14464.0
864691135694415551,864691137055712630,1980.0
864691135694415551,864691135209432185,2388.0
864691135694415551,864691135295165196,1148.0
864691135694415551,864691135325071004,2004.0
864691135694415551,864691135478316200,3356.0
864691135694415551,864691135493620831,8032.0
864691135694415551,864691135493686111,1224.0
864691135694415551,864691135577749022,864.0
864691135694415551,864691135725920939,2208.0
864691135694415551,864691135774389755,4172.0
864691135694415551,864691135858273326,4588.0
864691135694415551,864691135976063855,6492.0
864691135694415551,864691136042982742,36780.0
864691135694415551,864691136238679567,2728.0
864691135694415551,864691136976001308,1556.0
864691135398817569,864691135447540882,6772.0
864691135398817569,864691135585266808,28864.0
864691135398817569,864691136195798504,6252.0
864691135398817569,864691135662408944,3368.0
864691135398817569,864691135774179147,3004.0
864691135398817569,864691136603811281,3476.0
864691134942472035,864691135387690069,8020.0
864691134942472035,864691135502885954,1448.0
864691134942472035,864691135562842337,7572.0
864691134942472035,864691135619756943,15876.0
864691134942472035,864691135741524587,17464.0
864691134942472035,864691135849088094,1712.0
864691134942472035,864691135853198023,35424.0
864691134942472035,864691135885911920,2552.0
864691134942472035,864691136013367715,2520.0
864691134942472035,864691136107283417,3148.0
864691134942472035,864691136211385020,1176.0
864691134942472035,864691136389688695,1576.0
