pre_neuron_id,post_neuron_id,synapse_size
864691136006519498,864691136125440038,26432.0
864691136905758130,864691135386963541,12968.0
864691136905758130,864691136010639022,3552.0
864691135725842603,864691134949081852,2888.0
864691135725842603,864691134966714655,17532.0
864691135725842603,864691135102433056,57268.0
864691135725842603,864691135294520844,2028.0
864691135725842603,864691136975624220,11796.0
864691135725842603,864691135357351375,12584.0
864691135725842603,864691135562004193,9184.0
864691134949081852,864691136107283417,2072.0
864691134949081852,864691135357351375,3464.0
864691134949081852,864691136010639022,6376.0
864691135569902316,864691136058745048,1196.0
864691135988742147,864691135765013302,17392.0
864691135988742147,864691136058745048,3684.0
864691135375888840,864691134966714655,5736.0
864691135375888840,864691136085781356,2864.0
864691135375888840,864691136905758130,1448.0
864691135375888840,864691135124603687,3244.0
864691135375888840,864691135430486576,4748.0
864691135375888840,864691136125440038,36468.0
864691135375888840,864691136239980604,7396.0
864691134966714655,864691135725842603,656.0
864691134966714655,864691136275894285,34844.0
864691134966714655,864691135357351375,34136.0
864691134966714655,864691136239902780,260.0
864691135480916422,864691136006519498,1052.0
864691135480916422,864691136023889209,1320.0
864691135480916422,864691135280682401,11732.0
864691135480916422,864691136953677535,10556.0
864691135927381774,864691135258563503,13324.0
864691135927381774,864691135294520844,6448.0
864691135927381774,864691135694415551,2732.0
864691135927381774,864691136211371452,6968.0
864691135751110185,864691135725842603,392.0
864691135751110185,864691135592830731,4380.0
864691135751110185,864691136058745048,3660.0
864691136043283030,864691135782506832,6972.0
864691136043283030,864691136023889209,544.0
864691136043283030,864691136239980604,5524.0
864691136275894285,864691136033332155,12728.0
864691136275894285,864691135592830731,16768.0
864691136275894285,864691136058745048,3468.0
864691135760106830,864691135465113157,3300.0
864691135760106830,864691135504168285,1628.0
864691135760106830,864691135751110185,3172.0
864691135760106830,864691135124603687,1188.0
864691135760106830,864691136524297617,4348.0
864691135577816862,864691135480916422,33720.0
864691135577816862,864691135357351375,4840.0
864691135577816862,864691135386963541,1212.0
864691135577816862,864691135430275120,9248.0
864691135782506832,864691136006519498,4376.0
864691135782506832,864691136043283030,4184.0
864691135782506832,864691135280682401,7204.0
864691135782506832,864691136120159768,3936.0
864691135765013302,864691135725842603,23460.0
864691135765013302,864691136975624220,16560.0
864691135779020221,864691135504168285,12936.0
864691135779020221,864691135742189163,1264.0
864691136975624220,864691134966714655,7316.0
864691136975624220,864691135102433056,33520.0
864691136975624220,864691135294520844,13592.0
864691135102433056,864691135465343045,2832.0
864691135102433056,864691136033332155,5148.0
864691135102433056,864691135357351375,26344.0
864691135102433056,864691135360809560,4532.0
864691135258563503,864691135480916422,1016.0
864691135258563503,864691135868060950,1732.0
864691135258563503,864691135360809560,4432.0
864691135258563503,864691135763795510,736.0
864691135258563503,864691135942924148,3396.0
864691136052738803,864691136484732972,3024.0
864691136913993713,864691135294520844,1868.0
864691136913993713,864691136033332155,6932.0
864691136913993713,864691135124603687,5608.0
864691136913993713,864691135583172717,13628.0
864691136913993713,864691135942924148,11712.0
864691136177799686,864691135694415551,1916.0
864691136177799686,864691136905758130,7552.0
864691136033332155,864691134966714655,2544.0
864691136033332155,864691135810982860,3372.0
864691136033332155,864691135988742147,2724.0
864691136033332155,864691135357351375,4236.0
864691136033332155,864691136523335057,2544.0
864691135294441654,864691135102433056,4908.0
864691135294441654,864691135474504498,4892.0
864691135294441654,864691135808925981,3976.0
864691135294441654,864691136725093373,33944.0
864691135294441654,864691136913993713,2000.0
864691135294441654,864691135357351375,5872.0
864691135294441654,864691135430275120,5664.0
864691135294441654,864691136058745048,992.0
864691135466236229,864691135810982860,17024.0
864691135466236229,864691136905758130,15068.0
864691135466236229,864691136058745048,4304.0
864691136091074615,864691135465343045,1380.0
864691136091074615,864691135988742147,2004.0
864691136091074615,864691136107283417,4752.0
864691136091074615,864691135592830731,3724.0
864691136091074615,864691136058745048,31292.0
864691135504168285,864691136033332155,4604.0
864691135504168285,864691136484732972,1864.0
864691135504168285,864691135592830731,13196.0
864691135504168285,864691136058745048,2172.0
864691135504168285,864691136523335057,19064.0
864691135276505573,864691135927381774,3560.0
864691136085781356,864691136664127454,1348.0
864691136085781356,864691135430486576,6200.0
864691136085781356,864691136010639022,3136.0
864691135611019015,864691135258563503,14820.0
864691135611019015,864691136524297617,6228.0
864691136954028511,864691135725842603,968.0
864691137199050049,864691136043283030,13988.0
864691137199050049,864691136975624220,18920.0
864691136313406781,864691135810982860,2068.0
864691136313406781,864691135124603687,2444.0
864691136313406781,864691136239902780,5520.0
864691135499231763,864691135102433056,4564.0
864691135499231763,864691135990004992,416.0
864691135455819114,864691135725842603,11724.0
864691135455819114,864691136085781356,5184.0
864691135455819114,864691136091074615,25428.0
864691135455819114,864691136120159768,13552.0
864691136025504569,864691136210847932,12824.0
864691136023889209,864691135102433056,6712.0
