pre_pt_root_id,post_pt_root_id,size
864691134884807418,864691134884807418,7196.0
864691134884807418,864691134886037498,3840.0
864691134884807418,864691135117980637,16156.0
864691134884807418,864691135408560329,3896.0
864691134884807418,864691135578103301,2600.0
864691134884807418,864691135731705273,7260.0
864691134886037498,864691134886037498,34424.0
864691134886037498,864691135082864887,3656.0
864691134886037498,864691135273655569,11940.0
864691134886037498,864691135273918993,2600.0
864691134886037498,864691135389168001,4652.0
864691134886037498,864691135463695429,2344.0
864691134886037498,864691135499624723,428.0
864691134886037498,864691135727686463,1156.0
864691134886037498,864691135885140848,2320.0
864691134886037498,864691135885194352,816.0
864691134886037498,864691136089194039,4616.0
864691134886037498,864691136135963787,2120.0
864691134886037498,864691136177629702,1916.0
864691134886037498,864691136311106650,10552.0
864691134886335738,864691135346954143,6228.0
864691134886335738,864691135618332265,1848.0
864691134886335738,864691135774221643,12216.0
864691134886335738,864691135858363694,4380.0
864691134886335738,864691135990520064,5180.0
864691134886335738,864691136042989910,17004.0
864691134886335738,864691136138695549,9956.0
864691134886335738,864691136364187874,2956.0
864691134886335738,864691136524014993,1192.0
864691134886792442,864691135015048342,3736.0
864691134886792442,864691135994158785,3896.0
864691134886828794,864691134886828794,11720.0
864691134886828794,864691135660029314,7408.0
864691134886828794,864691135756148685,8016.0
864691134886828794,864691136596815778,356.0
864691134887026938,864691134919972106,6216.0
864691134887026938,864691135387551061,5520.0
864691134887026938,864691135816565839,20372.0
864691134887026938,864691136229186129,9800.0
864691134887026938,864691136391024144,808.0
864691134887026938,864691136424640047,5276.0
864691134887444730,864691134887444730,48884.0
864691134887444730,864691135343509701,6844.0
864691134887444730,864691135641196091,49180.0
864691134887444730,864691135842794979,19668.0
864691134887444730,864691135941829121,84672.0
864691134887444730,864691136487168530,1288.0
864691134887444986,864691134950156796,228.0
864691134887444986,864691134991010426,4368.0
864691134887444986,864691135105879117,16588.0
864691134887444986,864691135271696549,196.0
864691134887444986,864691135274038801,540.0
864691134887444986,864691135277186789,2584.0
864691134887444986,864691135325263004,208.0
864691134887444986,864691135431616048,876.0
864691134887444986,864691135493686111,344.0
864691134887444986,864691135688186080,18656.0
864691134887444986,864691135773073147,816.0
864691134887444986,864691135774389755,4024.0
864691134887444986,864691135811658700,2400.0
864691134887444986,864691135892233097,456.0
864691134887444986,864691135948123745,9880.0
864691134887444986,864691135994235841,16092.0
864691134887444986,864691136022090744,1136.0
864691134887444986,864691136022520056,6620.0
864691134887444986,864691136034084795,216.0
864691134887444986,864691136314078013,1324.0
864691134887444986,864691136330407914,508.0
864691134887444986,864691136372954248,4968.0
864691134887444986,864691136391024144,8984.0
864691134887444986,864691136419797655,6908.0
864691134887444986,864691136424640047,3420.0
864691134887460346,864691135731705273,15168.0
864691134887552506,864691135276132325,22356.0
864691134887552506,864691135573245165,11092.0
864691134887552506,864691135688186080,12532.0
864691134887552506,864691135839979667,3608.0
864691134887552506,864691136210743740,18272.0
864691134918921738,864691135324963484,41552.0
864691134918921738,864691135346954143,7032.0
864691134918921738,864691135396485877,2920.0
864691134918921738,864691135431616048,10356.0
864691134918921738,864691135688186080,5068.0
864691134918921738,864691135689296608,2088.0
864691134918921738,864691135717163802,1068.0
864691134918921738,864691135892233097,26268.0
864691134918921738,864691135941829121,7784.0
864691134918921738,864691136022520056,32004.0
864691134918921738,864691136211068860,23040.0
864691134918921738,864691136239460668,3772.0
864691134918921738,864691136330407914,24668.0
864691134918921738,864691136424640047,8412.0
864691134919403530,864691135346954143,10588.0
864691134919403530,864691135499624723,4356.0
864691134919403530,864691135566168599,30836.0
864691134919403530,864691135617152361,2624.0
864691134919403530,864691135688186080,1436.0
864691134919403530,864691135717386266,9552.0
864691134919403530,864691135743102827,11196.0
864691134919403530,864691135839979667,12352.0
864691134919403530,864691135892233097,22540.0
864691134919403530,864691135977768259,7420.0
864691134919403530,864691136210743740,1820.0
864691134919403530,864691136312076122,6176.0
864691134919403530,864691136364187874,27396.0
864691134919403530,864691136392622207,6080.0
864691134919529994,864691135324963484,4484.0
864691134919529994,864691135948123745,3356.0
864691134919869706,864691135105879117,15188.0
864691134919869706,864691135271967397,8936.0
864691134919869706,864691135340141542,5276.0
864691134919869706,864691135346954143,8300.0
864691134919869706,864691135489677882,1044.0
864691134919869706,864691135774221643,14244.0
864691134919869706,864691135866427006,3964.0
864691134919869706,864691135941829121,9268.0
864691134919869706,864691135977768259,8356.0
864691134919869706,864691136010928046,3540.0
864691134919927050,864691135106309709,8444.0
864691134919972106,864691134919972106,5712.0
864691134919972106,864691135566168599,3048.0
864691134919972106,864691135566649431,35784.0
864691134919972106,864691135990520064,4048.0
864691134919972106,864691135994158785,5664.0
864691134919972106,864691136314078013,2100.0
864691134920000010,864691134887444730,2824.0
864691134920000010,864691135105879117,368.0
864691134920000010,864691135209947769,8440.0
864691134920000010,864691135271967397,176.0
864691134920000010,864691135324963484,14880.0
864691134920000010,864691135384843738,2936.0
864691134920000010,864691135430356784,5224.0
864691134920000010,864691135465503813,5420.0
864691134920000010,864691135480652998,7052.0
864691134920000010,864691135566168599,224.0
864691134920000010,864691135743102827,552.0
864691134920000010,864691135756148685,852.0
864691134920000010,864691135774221643,18268.0
864691134920000010,864691135778290109,1776.0
864691134920000010,864691135858363694,2864.0
864691134920000010,864691135867965317,10404.0
864691134920000010,864691135954582563,19508.0
864691134920000010,864691135994158785,3444.0
864691134920000010,864691135994235841,2080.0
864691134920000010,864691136052101363,2876.0
864691134920000010,864691136145494068,3140.0
864691134920000010,864691136210743740,1496.0
864691134920000010,864691136362774498,4696.0
864691134920000010,864691136392682879,3112.0
864691134920000010,864691136424640047,6520.0
864691134920000010,864691136674495623,11428.0
864691134920000010,864691136905560754,11088.0
864691134941063523,864691135106309709,3180.0
864691134941063523,864691135272069285,2592.0
864691134941063523,864691135641196091,15928.0
864691134941063523,864691135941829121,12488.0
864691134941063523,864691136392622207,19404.0
864691134941412707,864691135271967397,4532.0
864691134941412707,864691135277186789,5724.0
864691134941412707,864691135346954143,12288.0
