pre_pt_root_id,post_pt_root_id,size
864691134884807418,864691135993770945,4040.0
864691134884807418,864691136275031565,12840.0
864691134884807418,864691136445249923,10620.0
864691134886037498,864691135014355094,416.0
864691134886037498,864691135257521583,224.0
864691134886037498,864691135275949029,964.0
864691134886037498,864691135339103718,6604.0
864691134886037498,864691135360017752,1636.0
864691134886037498,864691135464143934,3408.0
864691134886037498,864691135497743635,8328.0
864691134886037498,864691135686494647,2280.0
864691134886037498,864691135740860820,6840.0
864691134886037498,864691135787537348,3928.0
864691134886037498,864691135801604706,1240.0
864691134886037498,864691135970206821,26824.0
864691134886037498,864691135975824495,9496.0
864691134886037498,864691135993770945,3012.0
864691134886037498,864691135996891050,3572.0
864691134886037498,864691136124845606,3560.0
864691134886037498,864691136380264149,5280.0
864691134886037498,864691136389607287,6216.0
864691134886335738,864691135210443897,10428.0
864691134886335738,864691135386963541,11276.0
864691134886335738,864691135466333509,19900.0
864691134886335738,864691135528046939,2560.0
864691134886335738,864691135571546917,6176.0
864691134886335738,864691135584068717,4688.0
864691134886335738,864691135703016059,19696.0
864691134886335738,864691135739131780,5472.0
864691134886335738,864691135741889940,2052.0
864691134886335738,864691135817803599,17364.0
864691134886335738,864691135840033171,300.0
864691134886335738,864691135954480163,14072.0
864691134886335738,864691136034412219,2700.0
864691134886335738,864691136268801012,5592.0
864691134886335738,864691136331214058,4692.0
864691134886335738,864691136665051614,13360.0
864691134886335738,864691136675427975,3816.0
864691134886335738,864691137199860033,5332.0
864691134886499066,864691135124603687,2084.0
864691134886499066,864691135210443897,1128.0
864691134886499066,864691135662070512,3784.0
864691134886499066,864691135849300318,6360.0
864691134886499066,864691136010639022,3028.0
864691134886499066,864691136011768494,18684.0
864691134886499066,864691136125433894,904.0
864691134886499066,864691136196932172,4032.0
864691134886569210,864691135849426270,2684.0
864691134886569210,864691135853090503,200.0
864691134886569210,864691136524297617,5600.0
864691134886569210,864691137199860033,4844.0
864691134886792442,864691135388675969,4588.0
864691134886792442,864691135396115189,1672.0
864691134886792442,864691135430186032,4308.0
864691134886792442,864691135764946742,1272.0
864691134886792442,864691135778465376,3456.0
864691134886792442,864691135955477512,1256.0
864691134886792442,864691136136838027,3964.0
864691134886792442,864691136239387708,4036.0
864691134886792442,864691136389885047,2496.0
864691134887026938,864691134887026938,9880.0
864691134887026938,864691134941824611,10060.0
864691134887026938,864691135274708753,4624.0
864691134887026938,864691135343601093,9284.0
864691134887026938,864691135351096279,512.0
864691134887026938,864691135476495936,11020.0
864691134887026938,864691135499752723,6832.0
864691134887026938,864691135719900721,916.0
864691134887026938,864691135720572977,496.0
864691134887026938,864691135726881195,12668.0
864691134887026938,864691135739131780,3372.0
864691134887026938,864691135739587697,2936.0
864691134887026938,864691135741889940,3796.0
864691134887026938,864691135817803599,5472.0
864691134887026938,864691135842486243,3056.0
864691134887026938,864691135994134977,1872.0
864691134887026938,864691136380816597,12768.0
864691134887026938,864691137199860033,7816.0
864691134887444730,864691135280481697,19416.0
864691134887444730,864691135396115189,7248.0
864691134887444730,864691135702298491,8324.0
864691134887444730,864691136145208372,7200.0
864691134887444730,864691136177632518,4708.0
864691134887444730,864691136195284556,9172.0
864691134887444730,864691136238652476,119600.0
864691134887444730,864691136523033233,4468.0
864691134887444730,864691136925825354,48724.0
864691134887444730,864691136968109774,37020.0
864691134887444730,864691137055840886,2968.0
864691134887444986,864691134887444986,24756.0
864691134887444986,864691134949095932,2252.0
864691134887444986,864691134949263100,1132.0
864691134887444986,864691135325165724,5272.0
864691134887444986,864691135343499441,392.0
864691134887444986,864691135351096279,660.0
864691134887444986,864691135357351375,1460.0
864691134887444986,864691135388675969,972.0
864691134887444986,864691135388828033,5316.0
864691134887444986,864691135409940425,480.0
864691134887444986,864691135470787666,288.0
864691134887444986,864691135490326074,1116.0
864691134887444986,864691135493051879,1180.0
864691134887444986,864691135499752723,1368.0
864691134887444986,864691135503367517,892.0
864691134887444986,864691135572576237,10148.0
864691134887444986,864691135585713528,1220.0
864691134887444986,864691135587758716,292.0
864691134887444986,864691135659857026,2188.0
864691134887444986,864691135689417440,2388.0
864691134887444986,864691135719900721,1172.0
864691134887444986,864691135739587697,260.0
864691134887444986,864691135742756203,1492.0
864691134887444986,864691135842486243,7728.0
864691134887444986,864691135997332650,1620.0
864691134887444986,864691136026155577,232.0
864691134887444986,864691136052688115,1828.0
864691134887444986,864691136058646488,888.0
864691134887444986,864691136086632812,692.0
864691134887444986,864691136093003700,632.0
864691134887444986,864691136118805668,4396.0
864691134887444986,864691136275166398,1252.0
864691134887444986,864691136311451226,8416.0
864691134887444986,864691136380757461,2616.0
864691134887444986,864691136381325781,2008.0
864691134887444986,864691136381346005,2532.0
864691134887444986,864691136389921911,272.0
864691134887444986,864691136453419007,3900.0
864691134887444986,864691136484972332,1044.0
864691134887444986,864691136489262866,3676.0
864691134887444986,864691136523971473,1676.0
864691134887444986,864691136524282001,3860.0
864691134887444986,864691136618553563,4584.0
864691134887444986,864691136742067804,780.0
