pre_pt_root_id,post_pt_root_id,size
864691134884807418,864691136143696692,8368.0
864691134884807418,864691136239068732,7900.0
864691134886037498,864691134887460346,18136.0
864691134886037498,864691134989909114,3412.0
864691134886037498,864691135137137433,232.0
864691134886037498,864691135335635177,1748.0
864691134886037498,864691135477469864,5232.0
864691134886037498,864691136107486169,2744.0
864691134886037498,864691136363473634,4888.0
864691134886037498,864691137054934902,15764.0
864691134886335738,864691134886335738,2448.0
864691134886335738,864691134966069023,7764.0
864691134886335738,864691135210358137,1560.0
864691134886335738,864691135293605558,5068.0
864691134886335738,864691135375351369,8176.0
864691134886335738,864691135405733870,1448.0
864691134886335738,864691135478316200,2980.0
864691134886335738,864691135490505018,20164.0
864691134886335738,864691135875777166,2588.0
864691134886335738,864691135954680867,4232.0
864691134886335738,864691136034487483,6980.0
864691134886335738,864691136927566154,9524.0
864691134886499066,864691134886499066,4236.0
864691134886499066,864691135741090196,11488.0
864691134886499066,864691135990009600,3220.0
864691134886499066,864691136108370905,11180.0
864691134886499066,864691136674492295,3896.0
864691134886499066,864691136953413599,14284.0
864691134886499066,864691137055405174,5288.0
864691134886792442,864691134886792442,9792.0
864691134886792442,864691135448127572,13712.0
864691134886792442,864691135479404742,13896.0
864691134886792442,864691135617409385,1488.0
864691134886792442,864691135810098717,2612.0
864691134886792442,864691136100014453,17152.0
864691134886792442,864691136991202453,292.0
864691134887026938,864691134991032954,3656.0
864691134887026938,864691135134565280,4852.0
864691134887026938,864691135271343525,3588.0
864691134887026938,864691135295165196,4016.0
864691134887026938,864691135360809560,2860.0
864691134887026938,864691135448215698,2148.0
864691134887026938,864691135546902056,26052.0
864691134887026938,864691135547082280,5612.0
864691134887026938,864691135569592300,14628.0
864691134887026938,864691135716679194,17816.0
864691134887026938,864691135885917808,3304.0
864691134887026938,864691135886130288,3324.0
864691134887026938,864691135990134784,2268.0
864691134887026938,864691136011458734,3960.0
864691134887026938,864691136034487483,2876.0
864691134887026938,864691136137168779,468.0
864691134887026938,864691136311059034,5120.0
864691134887026938,864691136330101226,3840.0
864691134887444730,864691135115058329,6560.0
864691134887444730,864691135118918109,9452.0
864691134887444730,864691135448811860,66492.0
864691134887444730,864691135466025285,5320.0
864691134887444730,864691135492308071,8944.0
864691134887444730,864691135585266808,5844.0
864691134887444730,864691135810098717,28612.0
864691134887444730,864691136380718037,8752.0
864691134887444986,864691135215078712,660.0
864691134887444986,864691135271343525,696.0
864691134887444986,864691135375351369,1044.0
864691134887444986,864691135376096329,1312.0
864691134887444986,864691135398762529,8216.0
864691134887444986,864691135405700334,704.0
864691134887444986,864691135431591728,3528.0
864691134887444986,864691135448215698,1404.0
864691134887444986,864691135466158917,244.0
864691134887444986,864691135469845388,456.0
864691134887444986,864691135493620831,1804.0
864691134887444986,864691135503293250,748.0
864691134887444986,864691135528193883,272.0
864691134887444986,864691135546902056,284.0
864691134887444986,864691135562950369,17256.0
864691134887444986,864691135586240120,472.0
864691134887444986,864691135646493679,2020.0
864691134887444986,864691135662802416,180.0
864691134887444986,864691135685087474,1676.0
864691134887444986,864691135782702387,524.0
864691134887444986,864691135810905036,7392.0
864691134887444986,864691135810982860,2944.0
864691134887444986,864691135885921648,176.0
864691134887444986,864691135941435393,624.0
864691134887444986,864691135941886118,3548.0
864691134887444986,864691135948215076,1860.0
864691134887444986,864691135977666883,5236.0
864691134887444986,864691135992790209,960.0
864691134887444986,864691136034199739,1440.0
864691134887444986,864691136086630764,1464.0
864691134887444986,864691136108410329,296.0
864691134887444986,864691136125956134,1124.0
864691134887444986,864691136314114621,740.0
864691134887444986,864691136330101226,5404.0
864691134887444986,864691136424439855,1108.0
864691134887444986,864691136438666398,2968.0
864691134887444986,864691136523081105,1092.0
864691134887444986,864691136620914829,1972.0
864691134887444986,864691136905458866,3472.0
864691134887444986,864691136991202453,556.0
864691134887460346,864691134887460346,9232.0
864691134887460346,864691135717457946,2340.0
864691134887460346,864691135878154067,9692.0
864691134887460346,864691136034199739,512.0
864691134887460346,864691136445062787,9072.0
864691134887552506,864691135124538151,44084.0
864691134887552506,864691135155894884,1464.0
864691134887552506,864691135323181212,9600.0
864691134887552506,864691135562798817,11888.0
864691134887552506,864691135947258916,4504.0
864691134918921738,864691135569592300,12812.0
864691134918921738,864691135592789259,2968.0
864691134918921738,864691135732518585,4440.0
864691134918921738,864691135866576604,25692.0
864691134918921738,864691135885917808,8408.0
864691134918921738,864691135939949365,3628.0
864691134918921738,864691136034487483,16688.0
864691134918921738,864691136125956134,24408.0
864691134919403530,864691135336113129,5604.0
864691134919403530,864691135646493679,5564.0
864691134919403530,864691135694406335,2012.0
864691134919403530,864691135810098717,10588.0
864691134919403530,864691135817952079,11216.0
864691134919403530,864691135875777166,5876.0
864691134919403530,864691135939949365,2080.0
864691134919403530,864691136058745048,3852.0
864691134919403530,864691136196383190,13076.0
864691134919403530,864691136211371452,7296.0
864691134919529994,864691135474179378,1632.0
864691134919529994,864691136484364844,172.0
864691134919869706,864691134919869706,6116.0
864691134919869706,864691135368949241,5860.0
864691134919869706,864691135570381292,4320.0
864691134919869706,864691135685250546,11928.0
864691134919869706,864691135750649129,7108.0
864691134919869706,864691135763795510,6072.0
864691134919869706,864691135778618029,3976.0
864691134919869706,864691135875777166,3224.0
864691134919869706,864691135939049988,280.0
864691134919869706,864691136025504569,6308.0
864691134919869706,864691136390601335,3624.0
864691134919869706,864691136424704815,2840.0
864691134919869706,864691136438216350,4120.0
864691134919869706,864691136814655859,5168.0
864691134919927050,864691136111402424,2080.0
864691134919927050,864691136117811876,3440.0
864691134919927050,864691136227297105,8588.0
864691134919972106,864691135323181212,6316.0
864691134919972106,864691135350976727,9940.0
864691134919972106,864691135350977751,2660.0
864691134919972106,864691135386940245,1904.0
864691134919972106,864691135493620831,2596.0
864691134919972106,864691135546797608,9768.0
864691134919972106,864691135584504429,3176.0
864691134919972106,864691135685087474,1168.0
864691134919972106,864691135920776624,6796.0
